"CT_CD_LIST_SUBMVAL","CT_SUBMVAL","CT_NAME","DEFINITION",ORDER,CT_CD,NCI_PREFERRED_NAME,NAME_SUBMVAL
"EVNT_CAT_DEF","HYPERGLYCAEMIC EPISODES EVNT_CAT","Hyperglycaemic Episodes","Hyperglycaemic episodes",81,,,
"EVNT_CAT_DEF","HYPOGLYCAEMIC EPISODES EVNT_CAT","Hypoglycaemic Episodes","Hypoglycaemic episodes",80,,,
"EVNT_CAT_DEF","IN-PATIENT/PROLONGED HOSPITALISATION EVNT_CAT","In-Patient/Prolonged Hospitalisation","In-Patient/Prolonged Hospitalisation",1,,,
"EVNT_CAT_DEF","INFORMED CONSENT EVNT_CAT","Informed Consent","Informed consent",92,,,
"EVNT_CAT_DEF","LOCAL TOLERABILITY EVNT_CAT","Local Tolerability","Local Tolerability",1267,,,
"EVNT_CAT_DEF","MACROVASCULAR COMPLICATIONS EVNT_CAT","Macrovascular Complications","Macrovascular Complications
",1,,,
"EVNT_CAT_DEF","MAJOR SURGERY EVNT_CAT","Major Surgery","Category for History of Surgery form",1,,,
"EVNT_CAT_DEF","MEDICAL HISTORY EVNT_CAT","Medical History","Medical history",133,,,
"EVNT_CAT_DEF","MICROVASCULAR COMPLICATIONS EVNT_CAT","Microvascular Complications","Microvascular Complications
",1,,,
"EVNT_CAT_DEF","NEOPLASM EVNT_CAT","Neoplasm","Sponsor defined: Neoplasm
The terminology that includes concepts relevant to benign or malignant tissue growth.
CDISC SEND Tumor Findings Results Terminology (NCI)",1212,,,
"EVNT_CAT_DEF","NON SAE HOSPITALISATION EVNT_CAT","Non SAE Hospitalisation","Non SAE Hospitalisation",1,,,
"EVNT_CAT_DEF","OTHER EVENT EVNT_CAT","Other Event","For TREATMENT UNBLINDED.",15,,,
"EVNT_CAT_DEF","OUT PATIENT VISIT EVNT_CAT","Out Patient Visit","Out Patient Visit",1,,,
"EVNT_CAT_DEF","PANCREATITIS EVNT_CAT","Pancreatitis","Pancreatitis",1,,,
"EVNT_CAT_DEF","PARKINSONS DISEASE EVNT_CAT","Parkinson's Disease","Parkinson's Disease",1,,,
"EVNT_CAT_DEF","PERIOD WITHOUT TRIAL PRODUCT EVNT_CAT","Period Without Trial Product","Period Without Trial Product",1,,,
"EVNT_CAT_DEF","PROTOCOL MILESTONE EVNT_CAT","Protocol Milestone","For INFORMED CONSENT OBTAINED, RANDOMIZED, FIRST DATE ON TRIAL PRODUCT and LAST DATE ON TRIAL PRODUCT.",16,,,
"EVNT_CAT_DEF","PSYCHIATRIC DISORDER EVNT_CAT","Psychiatric Disorder","Psychiatric Disorder",16,,,
"EVNT_CAT_DEF","RANDOMISATION EVNT_CAT","Randomisation","Randomisation",180,,,
"EVNT_CAT_DEF","RENAL DISORDERS EVNT_CAT","Renal Disorders","Renal disorders (excl nephropathies), e.g. Renal disorders NEC, Renal failure and impairment (e.g. Chronic kidney disease), Renal failure complications, Renal hypertension and related conditions, Renal infections and inflammations (excl nephritis), Renal neoplasms, Renal obstructive disorders, Renal structural abnormalities and trauma, Renal vascular and ischaemic conditions",181,,,
"EVNT_CAT_DEF","REPEAT HOSPITALISATION EVNT_CAT","Repeat Hospitalisation","Repeat Hospitalisation",1,,,
"EVNT_CAT_DEF","RISK FACTORS FOR BREAST NEOPLASM EVNT_CAT","Risk Factors for Breast Neoplasm","Risk factors for Breast Neoplasm",1,,,
"EVNT_CAT_DEF","RISK FACTORS FOR COLON NEOPLASM EVNT_CAT","Risk Factors for Colon Neoplasm","Risk factors for Colon Neoplasm",2,,,
"EVNT_CAT_DEF","RISK FACTORS FOR SKIN CANCER EVNT_CAT","Risk Factors for Skin Cancer","Risk factors for Skin Cancer",3,,,
"EVNT_CAT_DEF","SCREENING FAILURE EVNT_CAT","Screening Failure","Screening failure",1910,,,
"EVNT_CAT_DEF","SICKLE CELL DISEASE EVNT_CAT","Sickle Cell Disease","Sickle Cell Disease",1800,,,
"EVNT_CAT_DEF","SKIN CANCER EVNT_CAT","Skin Cancer","Skin Cancer
",1,,,
"EVNT_CAT_DEF","TARGET JOINT ASSESSMENT EVNT_CAT","Target Joint Assessment","Assessment of target joint",1,,,
"EVNT_CAT_DEF","USE ERROR EVNT_CAT","Use Error","Use Error",1,,,
"EVNT_CAT_DEF","VASO OCCLUSIVE CRISIS EVNT_CAT","Vaso Occlusive Crisis","Vaso Occlusive Crisis",1,,,
"EVNT_CAT_DEF","WEIGHT HISTORY EVNT_CAT","Weight History","Weight History",1,,,
