basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;map_var_flag;fixed_mapping;include_in_raw;nn_internal;incl_cre_domain;xmlcodelistvalues
;CO;COVAL6;Comment 6;110;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL7;Comment 7;120;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL8;Comment 8;130;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
;CO;COVAL9;Comment 9;140;C;200;;text;;Perm;eDT;Collected;Vendor;Topic;;;MIXEDCASE;;;;Y;;Y;;;
Y;DI;DIPARMCD;Device Identifier Element Short Name;10;C;8;;text;;Req;Assigned;Assigned;Sponsor;Topic;*;;UPPERCASE;;;Short name of the identifier characteristic of the device.;;;;;;
Y;DI;DIPARM;Device Identifier Element Name;20;C;80;;text;;Req;Assigned;Assigned;Sponsor;Synonym Qualifier;*;;UPPERCASE;;;Name of the identifier characteristic of the device.;;;;;;
Y;DI;DIVAL;Device Identifier Element Value;30;C;200;;text;;Req;;;;Result Qualifier;*;;UPPERCASE;;;Value for the parameter.;;;;;;
Y;DM;SUBJID;Subject Identifier for the Study;10;C;40;;text;;Req;CRF;Collected;Investigator;Topic;;;UPPERCASE;;;Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF.;;;;;;
Y;DM;RFSTDTC;Subject Reference Start Date/Time;20;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;;"Reference start date or start date and time for the subject. Usually equivalent to date/time when subject was first exposed to study treatment. Required for all randomized subjects; will be null for all subjects who did not meet the milestone the date requires, such as screen failures or unassigned subjects.";;;;;;
Y;DM;RFENDTC;Subject Reference End Date/Time;30;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;;"Reference end date/time for the subject. Usually equivalent to the date/time when subject was determined to have ended the trial, and often equivalent to date/time of last exposure to study treatment. Required for all randomized subjects; null for screen failures or unassigned subjects.";;;;;;
Y;DM;RFXSTDTC;Date/Time of First Study Treatment;40;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;Set as date of first dose;First date/time of exposure to any protocol-specified treatment or therapy for the subject.;;;;;;
Y;DM;RFXENDTC;Date/Time of Last Study Treatment;50;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;Set as date of last dose;Last date/time of exposure to any protocol-specified treatment or therapy for the subject.;;;;;;
Y;DM;RFICDTC;Date/Time of Informed Consent;60;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;If DS record exists with DSTERM=INFORMED CONSENT OBTAINED then RFICDTC=DSSTDTC;Date/time of informed consent.;;;;;;
Y;DM;RFPENDTC;Date/Time of End of Participation;70;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;Calculated as the maximum of last visit date, date of last dose, discontinuation date, last adverse event start date and date of screening failure;Date/time when subject ended participation or follow-up in a trial. Should correspond to the last known date of contact.;;;;;;
Y;DM;DTHDTC;Date/Time of Death;80;C;64;;datetime;;Exp;Derived;Derived;Sponsor;Record Qualifier;ISO 8601;!!!;UPPERCASE DATETIME;;If AE record exists with AEOUT=FATAL then DTHDTC=AEENDTC;Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database.;;;;;Y;
Y;DM;DTHFL;Subject Death Flag;90;C;2;;text;NY;Exp;Derived;Derived;Sponsor;Record Qualifier;;!!!;UPPERCASE;;If AE record exists with AEOUT=FATAL then DTHFL=Y;"A value of ""Y"" indicates the subject died. Should be ""Y"" or null. Should be populated even when the death date is unknown.";;;;;Y;Y
Y;DM;SITEID;Study Site Identifier;100;C;40;;text;;Req;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Unique identifier for a site within a study.;;;;;Y;
Y;DM;INVID;Investigator Identifier;110;C;40;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;An identifier to describe the Investigator for the study. May be used in addition to the SITEID. Not needed if SITEID is equivalent to INVID.;;;;;Y;
Y;DM;INVNAM;Investigator Name;120;C;40;;text;;Perm;Assigned;Assigned;Sponsor;Synonym Qualifier;;;UPPERCASE;;;Name of the investigator for a site.;;;;;Y;
Y;DM;BRTHDTC;Date/Time of Birth;130;C;64;;datetime;;Perm;CRF;Collected;Investigator;Record Qualifier;ISO 8601;;UPPERCASE DATETIME;;;Date/time of birth of the subject.;;;;;Y;
Y;DM;AGE;Age;140;N;8;8,1;float;;Exp;Derived;Derived;Sponsor;Record Qualifier;;!!!;;;Age at start of trial;Age expressed in AGEU. May be derived as (RFSTDTC-BRTHDTC), but BRTHDTC may not be available in all cases (due to subject privacy concerns).;;;;;Y;
Y;DM;AGEU;Age Units;150;C;10;;text;AGEU;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;;;UPPERCASE;;;Units associated with AGE or AGETXT.;;;;;Y;
Y;DM;SEX;Sex;160;C;2;;text;SEX;Req;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Sex of the subject.;Y;;Y;;Y;
Y;DM;RACE;Race;170;C;80;;text;RACE;Exp;;;;Record Qualifier;;;UPPERCASE;;;"Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, October 2016) for guidance regarding the collection of race (http://www.fda.gov/downloads/RegulatoryInformation/Guidances/ucm126396.pdf).";;;;;Y;
Y;DM;ETHNIC;Ethnicity;180;C;40;;text;ETHNIC;Perm;CRF;Collected;Investigator;Record Qualifier;;;UPPERCASE;;;"The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, October 2016) for guidance regarding the collection of ethnicity (http://www.fda.gov/downloads/RegulatoryInformation/Guidances/ucm126396.pdf).";;;;;Y;
Y;DM;ARMCD;Planned Arm Code;190;C;20;;text;ARMCD;Exp;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Short name for the Arm to which the subject was assigned, limited to 20 characters.;;;;;;
Y;DM;ARM;Description of Planned Arm;200;C;40;;text;ARM;Exp;Protocol;Protocol;Sponsor;Synonym Qualifier;;;UPPERCASE;;;Name of the Arm to which the subject was assigned.;;;;;;
Y;DM;ACTARMCD;Actual Arm Code;210;C;40;;text;ACTARMCD;Exp;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Short name for the actual Arm in which the subject participated during the trial, limited to 20 characters.;;;;;;
Y;DM;ACTARM;Description of Actual Arm;220;C;40;;text;ACTARM;Exp;Protocol;Protocol;Sponsor;Synonym Qualifier;;;UPPERCASE;;;Description of the actual Arm in which the subject participated during the trial.;;;;;;
Y;DM;ARMNRS;Reason Arm and/or Actual Arm is Null;230;C;200;;text;;Perm;;;;Record Qualifier;*;;;;;"The reason why the actual arm variables are null or why both the planned and actual arm variables are null. Examples: ""SCREEN FAILURE"", ""NOT ASSIGNED"", ""NOT TREATED"", ""UNPLANNED TREATMENT"". It is assumed that if the arm and actual arm variables are null, the same reason applies to both.";Y;;Y;;;
Y;DM;ACTARMUD;Description of Unplanned Actual Arm;240;C;200;;text;;Perm;;;;Record Qualifier;;;;;;A description of actual treatment for a subject who did not receive treatment described in one of the planned trial arms.;Y;;Y;;;
Y;DM;COUNTRY;Country;250;C;3;;text;COUNTRY;Req;Assigned;Assigned;Sponsor;Record Qualifier;ISO 3166-1 Alpha-3;;UPPERCASE;;;Country of the investigation site at which the subject participated in the trial.;;;;;Y;
Y;EG;EGBEATNO;ECG Beat Number;10;N;8;;integer;;Perm;;;;Variable Qualifier;;;;;;A sequence number that identifies the beat within an ECG.;Y;;Y;;;
Y;EVENTS;__TERM;Reported Term;10;C;200;;text;;Req;CRF;Collected;Investigator;Topic;*;;UPPERCASE;;Topic variable for an event observation, which is the verbatim or pre-specified name of the event.;Topic variable for an event observation, which is the verbatim or pre-specified name of the event.;Y;;Y;;Y;
Y;EVENTS;__MODIFY;Modified Reported Term;20;C;200;;text;;Perm;Assigned;Assigned;Sponsor;Synonym Qualifier;;;UPPERCASE;;If the value for --TERM is modified for coding purposes, then the modified text is placed here.;If the value for --TERM is modified for coding purposes, then the modified text is placed here.;Y;;Y;;;
Y;EVENTS;__LLT;Lowest Level Term;30;C;200;;text;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;MedDRA Lowest Level Term.;MedDRA Lowest Level Term.;;;;;;
Y;EVENTS;__LLTCD;Lowest Level Term Code;40;N;8;;integer;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;MedDRA Lowest Level Term code.;MedDRA Lowest Level Term code.;Y;;Y;;;
Y;EVENTS;__DECOD;Dictionary-Derived Term;50;C;200;;text;;Perm;Assigned;Assigned;Sponsor;Synonym Qualifier;*;;MIXEDCASE;;Dictionary or sponsor-defined derived text description of the topic variable, --TERM, or the modified topic variable (--MODIFY), if applicable. Equivalent to the Preferred Term (PT in MedDRA).;Dictionary or sponsor-defined derived text description of the topic variable, --TERM, or the modified topic variable (-- MODIFY), if applicable. Equivalent to the Preferred Term (PT in MedDRA).;Y;;Y;;;
Y;EVENTS;__PTCD;Preferred Term Code;60;N;8;;integer;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;MedDRA Preferred Term code.;MedDRA Preferred Term code.;Y;;Y;;;
Y;EVENTS;__HLT;High Level Term;70;C;200;;text;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;MedDRA High Level Term from the primary path.;MedDRA High Level Term from the primary path.;;;;;;
Y;EVENTS;__HLTCD;High Level Term Code;80;N;8;;integer;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;MedDRA High Level Term code from the primary path.;MedDRA High Level Term code from the primary path.;Y;;Y;;;
Y;EVENTS;__HLGT;High Level Group Term;90;C;200;;text;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;MedDRA High Level Group Term from the primary path.;MedDRA High Level Group Term from the primary path.;;;;;;
Y;EVENTS;__HLGTCD;High Level Group Term Code;100;N;8;;integer;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;MedDRA High Level Group Term code from the primary path.;MedDRA High Level Group Term code from the primary path.;Y;;Y;;;
Y;EVENTS;__CAT;Category;110;C;60;;text;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;Used to define a category of topic-variable values.;Used to define a category of topic-variable values.;Y;;Y;;Y;
Y;EVENTS;__SCAT;Subcategory;120;C;60;;text;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;Used to define a further categorization of --CAT values.;Used to define a further categorization of --CAT values.;Y;;Y;;Y;
Y;EVENTS;__PRESP;Pre-specified;130;C;2;;text;NY;Perm;;;;Variable Qualifier;(NY);;UPPERCASE;;Used to indicate whether the event described by --TERM was pre-specified on a CRF. Value is Y for pre-specified events, null for spontaneously reported events.;Used to indicate whether the event described by --TERM was pre-specified on a CRF. Value is Y for pre-specified events, null for spontaneously reported events.;;;;;;
Y;EVENTS;__OCCUR;Occurrence;140;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;Used to record whether a pre-specified event occurred when information about the occurrence of a specific event is solicited.;Used to record whether a pre-specified event occurred when information about the occurrence of a specific event is solicited.;;;;;;
Y;EVENTS;__STAT;Completion Status;150;C;40;;text;ND;Perm;;;;Record Qualifier;(ND);;UPPERCASE;;Used to indicate when a question about the occurrence of a pre-specified event was not answered. Should be null or have a value of NOT DONE.;Used to indicate when a question about the occurrence of a pre-specified event was not answered. Should be null or have a value of NOT DONE.;Y;;Y;;;
Y;EVENTS;__REASND;Reason Not Done;160;C;200;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;Reason not done. Used in conjunction with --STAT when its value is NOT DONE.;"Reason not done. Used in conjunction with --STAT when its value is ""NOT DONE"".";Y;;Y;;;
Y;EVENTS;__BODSYS;Body System or Organ Class;170;C;200;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;MedDRA;;MIXEDCASE;;Body system or system organ class assigned for analysis from a standard hierarchy (e.g. MedDRA) associated with an event. Example: GASTROINTESTINAL DISORDERS.;Body system or system organ class assigned for analysis from a standard hierarchy (e.g. MedDRA) associated with an event. Example: GASTROINTESTINAL DISORDERS.;Y;;Y;;;
Y;EVENTS;__BDSYCD;Body System or Organ Class Code;180;N;8;;integer;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;MedDRA System Organ Class code corresponding to --BODSYS assigned for analysis.;MedDRA System Organ Class code corresponding to -- BODSYS assigned for analysis.;Y;;Y;;;
Y;EVENTS;__SOC;Primary System Organ Class;190;C;200;;text;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;MedDRA primary System Organ Class associated with the event.;MedDRA primary System Organ Class associated with the event.;;;;;;
Y;EVENTS;__SOCCD;Primary System Organ Class Code;200;N;8;;integer;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;MedDRA primary System Organ Class code.;MedDRA primary System Organ Class code.;Y;;Y;;;
Y;EVENTS;__LOC;Location of Event;210;C;100;;text;LOC;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;Describes anatomical location relevant for the event. Example: ARM for skin rash.;"Describes anatomical location relevant for the event. Example: ""ARM"" for skin rash.";Y;;Y;;;
Y;EVENTS;__LAT;Laterality;220;C;40;;text;LAT;Perm;;;;Variable Qualifier;(LAT);;UPPERCASE;;;"Qualifier for anatomical location further detailing laterality. Examples: ""RIGHT"", ""LEFT"", ""BILATERAL"".";Y;;Y;;;
Y;EVENTS;__DIR;Directionality;230;C;40;;text;DIR;Perm;;;;Variable Qualifier;(DIR);;UPPERCASE;;;"Qualifier for anatomical location further detailing directionality. Examples: ""ANTERIOR"", ""LOWER"", ""PROXIMAL"".";;;;;;
Y;EVENTS;__PORTOT;Portion or Totality;240;C;40;;text;PORTOT;Perm;;;;Variable Qualifier;(PORTOT);;UPPERCASE;;;"Qualifier for anatomical location further detailing the distribution, which means arrangement of, apportioning of. Examples: ""ENTIRE"", ""SINGLE"", ""SEGMENT"", ""MANY"".";;;;;;
Y;EVENTS;__PARTY;Accountable Party;250;C;80;;text;;Req;;;;Record Qualifier;*;;UPPERCASE;;;Party accountable for the transferable object (e.g., device, specimen) as a result of the activity performed in the associated --TERM variable. The party could be an individual (e.g., subject), an organization (e.g., sponsor), or a location that is a proxy for an individual or organization (e.g., site). It is usually a somewhat general term that is further identified in the --PRTYID variable.;;;;;;
Y;EVENTS;__PRTYID;Identification of Accountable Party;260;C;40;;text;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;;;UPPERCASE;;;Identification of the specific party accountable for the transferable object (e.g. device, specimen) after the action in -- TERM is taken. Used in conjunction with --PARTY.;;;;;;
Y;EVENTS;__SEV;Severity/Intensity;270;C;80;;text;;Perm;CRF;Collected;Investigator;Record Qualifier;*;;UPPERCASE;;The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.;"The severity or intensity of the event. Examples: ""MILD"", ""MODERATE"", ""SEVERE"".";Y;;Y;;;
Y;EVENTS;__SER;Serious Event;280;C;2;;text;NY;Exp;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Is this is a serious event? Valid values are ""Y"" and ""N"".";"Is this is a serious event? Valid values are ""Y"" and ""N"".";Y;;Y;;;
Y;EVENTS;__ACN;Action Taken with Study Treatment;290;C;40;;text;ACN;Exp;CRF;Collected;Investigator;Record Qualifier;(ACN);;UPPERCASE;;Describes changes made to the study treatment as a result of the event. Examples: DOSE INCREASED, DOSE NOT CHANGED.;"Describes changes made to the study treatment as a result of the event. Examples: ""DOSE INCREASED"", ""DOSE NOT CHANGED"".";Y;;Y;;;
Y;EVENTS;__ACNOTH;Other Action Taken;300;C;200;;text;;Perm;CRF;Collected;Investigator;Record Qualifier;;;UPPERCASE;;Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment.;Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment.;Y;;Y;;;
Y;EVENTS;__ACNDEV;Action Taken with Device;310;C;80;;text;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Action taken with respect to a device in a study, which may or may not be the device under study;;;;;;
Y;EVENTS;__REL;Causality;320;C;80;;text;;Exp;CRF;Collected;Investigator;Record Qualifier;*;;UPPERCASE;;Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED.;"Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include ""NOT RELATED"", ""UNLIKELY RELATED"", ""POSSIBLY RELATED"", ""RELATED"".";Y;;Y;;;
Y;EVENTS;__RELNST;Relationship to Non-Study Treatment;330;C;40;;text;;Perm;CRF;Collected;Investigator;Record Qualifier;;;UPPERCASE;;"An opinion as to whether the event may have been due to a treatment other than study drug. Example: ""MORE LIKELY RELATED TO ASPIRIN USE.""";"An opinion as to whether the event may have been due to a treatment other than study drug. Example: ""MORE LIKELY RELATED TO ASPIRIN USE.""";;;;;;
Y;EVENTS;__PATT;Pattern of Event;340;C;80;;text;;Perm;;;;Record Qualifier;*;;UPPERCASE;;Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.;"Used to indicate the pattern of the event over time. Examples: ""INTERMITTENT"", ""CONTINUOUS"", ""SINGLE EVENT"".";;;;;;
Y;EVENTS;__OUT;Outcome of Event;350;C;40;;text;OUT;Perm;CRF;Collected;Investigator;Record Qualifier;(OUT);;UPPERCASE;;Description of the outcome of an event. Examples: RECOVERED/RESOLVED, FATAL.;"Description of the outcome of an event. Examples: ""RECOVERED/RESOLVED"", ""FATAL"".";;;;;;
Y;EVENTS;__SCAN;Involves Cancer;360;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Was the event associated with the development of cancer? Valid values are ""Y"" and ""N"".";"Was the event associated with the development of cancer? Valid values are ""Y"", ""N"", and null.";;;;;;
Y;EVENTS;__SCONG;Congenital Anomaly or Birth Defect;370;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Was the event associated with congenital anomaly or birth defect? Valid values are ""Y"" and ""N"".";"Was the event associated with congenital anomaly or birth defect? Valid values are ""Y"", ""N"", and null.";;;;;;
Y;EVENTS;__SDISAB;Persist or Signif Disability/Incapacity;380;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Did the event result in persistent or significant disability/incapacity? Valid values are ""Y"" and ""N"".";"Did the event result in persistent or significant disability/incapacity? Valid values are ""Y"", ""N"", and null.";;;;;;
Y;EVENTS;__SDTH;Results in Death;390;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Did the event result in death? Valid values are ""Y"" and ""N"".";"Did the event result in death? Valid values are ""Y"", ""N"", and null.";Y;;Y;;;
Y;EVENTS;__SHOSP;Requires or Prolongs Hospitalization;400;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Did the event require or prolong hospitalization? Valid values are ""Y"" and ""N"".";"Did the event require or prolong hospitalization? Valid values are ""Y"", ""N"", and null.";Y;;Y;;;
Y;EVENTS;__SLIFE;Is Life Threatening;410;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Was the event life threatening? Valid values are ""Y"" and ""N"".";"Was the event life threatening? Valid values are ""Y"", ""N"", and null.";Y;;Y;;;
Y;EVENTS;__SOD;Occurred with Overdose;420;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Did the event occur with an overdose? Valid values are ""Y"" and ""N"".";"Did the event occur with an overdose? Valid values are ""Y"", ""N"", and null.";;;;;;
Y;EVENTS;__SMIE;Other Medically Important Serious Event;430;C;2;;text;NY;Perm;CRF;Collected;Investigator;Record Qualifier;(NY);;UPPERCASE;;"Do additional categories for seriousness apply? Valid values are ""Y"" and ""N"".";"Do additional categories for seriousness apply? Valid values are ""Y"", ""N"", and null.";Y;;Y;;;
Y;EVENTS;__CONTRT;Concomitant or Additional Trtmnt Given;440;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;"Was another treatment given because of the occurrence of the event? Valid values are ""Y"" and ""N"".";"Was another treatment given because of the occurrence of the event? Valid values are ""Y"", ""N"", and null.";Y;;Y;;;
Y;EVENTS;__TOX;Toxicity;450;C;80;;text;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;*;;UPPERCASE;;Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.xml document.;"Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: ""HYPERCALCEMIA"", ""HYPOCALCEMIA"". Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define-XML document.";Y;;Y;;;
