"basic_std","table","column","activity_item_class","label","order","type","length","displayformat","xmldatatype","xmlcodelist","core","origin","role","term","algorithm","qualifiers","comment","IGcomment","map_var_flag","fixed_mapping","include_in_raw","nn_internal","incl_cre_domain","xmlcodelistvalues"
"","Special-Purpose-CO","COVAL3","","Comment 3","80","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL4","","Comment 4","90","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL5","","Comment 5","100","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL6","","Comment 6","110","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL7","","Comment 7","120","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL8","","Comment 8","130","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"","Special-Purpose-CO","COVAL9","","Comment 9","140","C","200","","text","","Perm","eDT","Topic","","","MIXEDCASE","","","Y","","Y","","",""
"Y","Study__Reference-DI","DIPARMCD","","Device Identifier Element Short Name","10","C","8","","text","","Req","Assigned","Topic","*","","UPPERCASE","","Short name of the identifier characteristic of the device. Examples: SERIAL, MODEL. A record with DIPARMCD = TYPE should be included (see below)","","","","","",""
"Y","Study__Reference-DI","DIPARM","","Device Identifier Element Name","20","C","80","","text","","Req","Assigned","SynonymQualifier","*","","UPPERCASE","","Name of the identifier characteristic of the device. Examples: Serial Number, Model. A record with DIPARM = Type should be included (see below)","","","","","",""
"Y","Study__Reference-DI","DIVAL","","Device Identifier Element Value","30","C","200","","text","","Req","","ResultQualifier","*","","UPPERCASE","","Value for the parameter. Value for the parameter. When DIPARM = Type, DIVAL should be a value in the GMDN dictionary (see below)","","","","","",""
"Y","Special-Purpose-DM","SUBJID","","Subject Identifier for the Study","10","C","40","","text","","Req","CRF","Topic","","","UPPERCASE","","Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF.","","","","","",""
"Y","Special-Purpose-DM","RFXSTDTC","","Date/Time of First Study Treatment","20","C","64","","datetime","","Exp","Derived","RecordQualifier","ISO 8601","!!!","UPPERCASE DATETIME","Set as date of first dose","First date of exposure to any protocol-specified treatment or therapy, equal to the earliest value of EXSTDTC.","","","","","",""
"Y","Special-Purpose-DM","RFXENDTC","","Date/Time of Last Study Treatment","30","C","64","","datetime","","Exp","Derived","RecordQualifier","ISO 8601","!!!","UPPERCASE DATETIME","Set as date of last dose","Last date of exposure to any protocol-specified treatment or therapy, equal to the latest value of EXENDTC (or the latest value of EXSTDTC if EXENDTC was not collected or is missing).","","","","","",""
"Y","Special-Purpose-DM","RFICDTC","","Date/Time of Informed Consent","40","C","64","","datetime","","Exp","Derived","RecordQualifier","ISO 8601","!!!","UPPERCASE DATETIME","If DS record exists with DSTERM=INFORMED CONSENT OBTAINED then RFICDTC=DSSTDTC","Date/time of informed consent in ISO 8601 character format. This will be the same as the date of informed consent in the Disposition domain, if that protocol milestone is documented. Would be null only in studies not collecting the date of informed consent.","","","","","",""
"Y","Special-Purpose-DM","RFPENDTC","","Date/Time of End of Participation","50","C","64","","datetime","","Exp","Derived","RecordQualifier","ISO 8601","!!!","UPPERCASE DATETIME","Calculated as the maximum of last visit date, date of last dose, discontinuation date, last adverse event start date and date of screening failure","Date/time when subject ended participation or follow-up in a trial, as defined in the protocol, in ISO 8601 character format. Should correspond to the last known date of contact. Examples include completion date, withdrawal date, last follow-up, date recorded for lost to follow up, or death date.","","","","","",""
"Y","Special-Purpose-DM","DTHDTC","","Date/Time of Death","60","C","64","","datetime","","Exp","Derived","RecordQualifier","ISO 8601","!!!","UPPERCASE DATETIME","If AE record exists with AEOUT=FATAL then DTHDTC=AEENDTC","Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database.","","","","","Y",""
"Y","Special-Purpose-DM","DTHFL","","Subject Death Flag","70","C","2","","text","NY","Exp","Derived","RecordQualifier","(NY)","!!!","UPPERCASE","If AE record exists with AEOUT=FATAL then DTHFL=Y","Indicates the subject died. Should be Y or null. Should be populated even when the death date is unknown.","","","","","Y","Y"
"Y","Special-Purpose-DM","SITEID","","Study Site Identifier","80","C","40","","text","","Req","Assigned","RecordQualifier","","","UPPERCASE","","Unique identifier for a site within a study.","","","","","Y",""
"Y","Special-Purpose-DM","INVID","","Investigator Identifier","90","C","40","","text","","Perm","Assigned","RecordQualifier","","","UPPERCASE","","An identifier to describe the Investigator for the study. May be used in addition to SITEID. Not needed if SITEID is equivalent to INVID.","","","","","Y",""
"Y","Special-Purpose-DM","INVNAM","","Investigator Name","100","C","40","","text","","Perm","Assigned","SynonymQualifier","","","UPPERCASE","","Name of the investigator for a site.","","","","","Y",""
"Y","Special-Purpose-DM","BRTHDTC","date_of_birth","Date/Time of Birth","110","C","64","","datetime","","Perm","CRF","RecordQualifier","ISO 8601","","UPPERCASE DATETIME","","Date/time of birth of the subject.","","","","","Y",""
"Y","Special-Purpose-DM","AGE","age","Age","120","N","8","8.1","float","","Exp","Derived","RecordQualifier","","!!!","","Age at start of trial","Age expressed in AGEU. May be derived from RFSTDTC and BRTHDTC, but BRTHDTC may not be available in all cases (due to subject privacy concerns).","","","","","Y",""
"Y","Special-Purpose-DM","AGEU","age_unit","Age Units","130","C","10","","text","AGEU","Exp","Assigned","VariableQualifier","(AGEU)","","UPPERCASE","","Units associated with AGE.","","","","","Y",""
"Y","Special-Purpose-DM","SEX","sex","Sex","140","C","2","","text","SEX","Req","Assigned","RecordQualifier","(SEX)","","UPPERCASE","","Sex of the subject.","Y","","Y","","Y",""
"Y","Special-Purpose-DM","RACE","race","Race","150","C","80","","text","RACE","Exp","","RecordQualifier","(RACE)","","UPPERCASE","","Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) See Assumption below regarding RACE.","","","","","Y",""
"Y","Special-Purpose-DM","ETHNIC","ethnicity","Ethnicity","160","C","40","","text","ETHNIC","Perm","CRF","RecordQualifier","(ETHNIC)","","UPPERCASE","","The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm).","","","","","Y",""
"Y","Special-Purpose-DM","ARMCD","","Planned Arm Code","170","C","20","","text","ARMCD","Req","Assigned","RecordQualifier","*","","UPPERCASE","","ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other ""short"" variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two- character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20.","","","","","",""
"Y","Special-Purpose-DM","ARM","","Description of Planned Arm","180","C","40","","text","ARM","Req","Protocol","SynonymQualifier","*","","UPPERCASE","","Name of the Arm to which the subject was assigned.","","","","","",""
"Y","Special-Purpose-DM","ACTARMCD","","Actual Arm Code","190","C","40","","text","ACTARMCD","Req","Assigned","RecordQualifier","*","","UPPERCASE","","Code of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARMCD will be UNPLAN. Randomized subjects who were not treated will be given a value of NOTTRT. Values should be ""SCRNFAIL"" for screen failures and ""NOTASSGN"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases. ACTARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ACTARMCD is longer than for other short variables to accommodate the kind of values that are likely to be needed for crossover trials.","","","","","",""
"Y","Special-Purpose-DM","ACTARM","","Description of Actual Arm","200","C","40","","text","ACTARM","Req","Protocol","SynonymQualifier","*","","UPPERCASE","","Description of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARM will be ""Unplanned Treatment"". Randomized subjects who were not treated will be given a value of ""Not Treated"". Values should be ""Screen Failure"" for screen failures and ""Not Assigned"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases.","","","","","",""
"Y","Special-Purpose-DM","COUNTRY","","Country","210","C","3","","text","COUNTRY","Req","Assigned","RecordQualifier","(COUNTRY) ISO 3166","","UPPERCASE","","Country of the investigational site in which the subject participated in the trial.","","","","","Y",""
"","DV_NSV","__EPRELI","","Epi/Pandemic Related Indicator","10","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","","Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0","","","","","","Y"
"","DV_NSV","__REAS","","Reason for Deviation","20","C","200","","text","DVCODES","Perm","CRF","RecordQualifier","(DVCODES)","","UPPERCASE","","Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0","","","","","",""
"","EG","EGBEATNO","","ECG Beat Number","10","N","8","","integer","","Perm","","VariableQualifier","","","","","A sequence number that identifies the beat within an ECG.","Y","","Y","","",""
"Y","Events","__TERM","term","Reported Term","10","C","200","","text","","Req","CRF","Topic","*","","UPPERCASE","Topic variable for an event observation, which is the verbatim or pre-specified name of the event.","Topic variable for an event observation, which is the verbatim or pre-specified name of the event.","Y","","Y","","Y",""
"Y","Events","__MODIFY","","Modified Reported Term","20","C","200","","text","","Perm","Assigned","SynonymQualifier","","","UPPERCASE","If the value for --TERM is modified for coding purposes, then the modified text is placed here.","If the value for --TERM is modified for coding purposes, then the modified text is placed here.","Y","","Y","","",""
"Y","Events","__LLT","","Lowest Level Term","30","C","200","","text","","Exp","Assigned","VariableQualifier","MedDRA","","MIXEDCASE","MedDRA Lowest Level Term.","MedDRA Lowest Level Term.","","","","","",""
"Y","Events","__LLTCD","","Lowest Level Term Code","40","N","8","","integer","","Exp","Assigned","VariableQualifier","MedDRA","","","MedDRA Lowest Level Term code.","MedDRA Lowest Level Term code.","Y","","Y","","",""
"Y","Events","__DECOD","","Dictionary-Derived Term","50","C","200","","text","","Perm","Assigned","SynonymQualifier","*","","MIXEDCASE","Dictionary or sponsor-defined derived text description of the topic variable, --TERM, or the modified topic variable (--MODIFY), if applicable. Equivalent to the Preferred Term (PT in MedDRA).","Dictionary or sponsor-defined derived text description of the topic variable, --TERM, or the modified topic variable (-- MODIFY), if applicable. Equivalent to the Preferred Term (PT in MedDRA).","Y","","Y","","",""
"Y","Events","__PTCD","","Preferred Term Code","60","N","8","","integer","","Exp","Assigned","VariableQualifier","MedDRA","","","MedDRA Preferred Term code.","MedDRA Preferred Term code.","Y","","Y","","",""
"Y","Events","__HLT","","High Level Term","70","C","200","","text","","Exp","Assigned","VariableQualifier","MedDRA","","MIXEDCASE","MedDRA High Level Term from the primary path.","MedDRA High Level Term from the primary path.","","","","","",""
"Y","Events","__HLTCD","","High Level Term Code","80","N","8","","integer","","Exp","Assigned","VariableQualifier","MedDRA","","","MedDRA High Level Term code from the primary path.","MedDRA High Level Term code from the primary path.","Y","","Y","","",""
"Y","Events","__HLGT","","High Level Group Term","90","C","200","","text","","Exp","Assigned","VariableQualifier","MedDRA","","MIXEDCASE","MedDRA High Level Group Term from the primary path.","MedDRA High Level Group Term from the primary path.","","","","","",""
"Y","Events","__HLGTCD","","High Level Group Term Code","100","N","8","","integer","","Exp","Assigned","VariableQualifier","MedDRA","","","MedDRA High Level Group Term code from the primary path.","MedDRA High Level Group Term code from the primary path.","Y","","Y","","",""
"Y","Events","__CAT","category","Category","110","C","60","","text","","Perm","Assigned","GroupingQualifier","*","","UPPERCASE","Used to define a category of topic-variable values.","Used to define a category of topic-variable values.","Y","src.cat","Y","","Y",""
"Y","Events","__SCAT","subcategory","Subcategory","120","C","60","","text","","Perm","Assigned","GroupingQualifier","*","","UPPERCASE","Used to define a further categorization of --CAT values.","Used to define a further categorization of --CAT values.","Y","src.sub_cat","Y","","Y",""
"Y","Events","__PRESP","prespecified","Pre-specified","130","C","2","","text","NY","Perm","","VariableQualifier","(NY)","","UPPERCASE","Used to indicate whether the event described by --TERM was pre-specified on a CRF. Value is Y for pre-specified events, null for spontaneously reported events.","Used to indicate whether the event described by --TERM was pre-specified on a CRF. Value is Y for pre-specified events, null for spontaneously reported events.","","","","","",""
"Y","Events","__OCCUR","occurrence","Occurrence","140","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","Used to record whether a pre-specified event occurred when information about the occurrence of a specific event is solicited.","Used to record whether a pre-specified event occurred when information about the occurrence of a specific event is solicited.","","","","","",""
"Y","Events","__STAT","completion_status","Completion Status","150","C","40","","text","ND","Perm","","RecordQualifier","(ND)","","UPPERCASE","Used to indicate when a question about the occurrence of a pre-specified event was not answered. Should be null or have a value of NOT DONE.","Used to indicate when a question about the occurrence of a pre- specified event was not answered. Should be null or have a value of NOT DONE.","Y","","Y","","",""
"Y","Events","__REASND","reason_not_done","Reason Not Done","160","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","Reason not done. Used in conjunction with --STAT when its value is NOT DONE.","Reason not done. Used in conjunction with --STAT when its value is NOT DONE.","Y","","Y","","",""
"Y","Events","__BODSYS","","Body System or Organ Class","170","C","200","","text","","Perm","Assigned","RecordQualifier","MedDRA","","MIXEDCASE","Body system or system organ class assigned for analysis from a standard hierarchy (e.g. MedDRA) associated with an event. Example: GASTROINTESTINAL DISORDERS.","Body system or system organ class assigned for analysis from a standard hierarchy (e.g. MedDRA) associated with an event. Example: GASTROINTESTINAL DISORDERS.","Y","","Y","","",""
"Y","Events","__BDSYCD","","Body System or Organ Class Code","180","N","8","","integer","","Exp","Assigned","VariableQualifier","MedDRA","","","MedDRA System Organ Class code corresponding to --BODSYS assigned for analysis.","MedDRA System Organ Class code corresponding to -- BODSYS assigned for analysis.","Y","","Y","","",""
"Y","Events","__SOC","","Primary System Organ Class","190","C","200","","text","","Exp","Assigned","VariableQualifier","MedDRA","","MIXEDCASE","MedDRA primary System Organ Class associated with the event.","MedDRA primary System Organ Class associated with the event.","","","","","",""
"Y","Events","__SOCCD","","Primary System Organ Class Code","200","N","8","","integer","","Exp","Assigned","VariableQualifier","MedDRA","","","MedDRA primary System Organ Class code.","MedDRA primary System Organ Class code.","Y","","Y","","",""
"Y","Events","__LOC","location","Location of Event","210","C","100","","text","LOC","Perm","","RecordQualifier","(LOC)","","UPPERCASE","Describes anatomical location relevant for the event. Example: ARM for skin rash.","Describes anatomical location relevant for the event. Example: ARM for skin rash.","Y","","Y","","",""
"Y","Events","__LAT","laterality","Laterality","220","C","40","","text","LAT","Perm","","VariableQualifier","(LAT)","","UPPERCASE","","Qualifier for anatomical location further detailing laterality. Examples: RIGHT, LEFT, BILATERAL","Y","","Y","","",""
"Y","Events","__DIR","directionality","Directionality","230","C","40","","text","DIR","Perm","","VariableQualifier","(DIR)","","UPPERCASE","","Qualifier for anatomical location further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL","","","","","",""
"Y","Events","__PORTOT","portion","Portion or Totality","240","C","40","","text","PORTOT","Perm","","VariableQualifier","(PORTOT)","","UPPERCASE","","Qualifier for anatomical location further detailing the distribution, which means arrangement of, apportioning of. Examples: ENTIRE, SINGLE, SEGMENT, MANY.","","","","","",""
"Y","Events","__PARTY","","Accountable Party","250","C","80","","text","","Req","","RecordQualifier","*","","UPPERCASE","","Party accountable for the transferable object (e.g. device, specimen) as a result of the activity performed in the associated --TERM variable. The party could be an individual (e.g., subject), an organization (e.g., sponsor), or a location that is a proxy for an individual or organization (e.g., site). It is usually a somewhat general term that is further identified in the -- PRTYID variable.","","","","","",""
"Y","Events","__PRTYID","","Identification of Accountable Party","260","C","40","","text","","Exp","Assigned","VariableQualifier","","","UPPERCASE","","Identification of the specific party accountable for the transferable object (e.g. device, specimen) after the action in -- TERM is taken. Used in conjunction with --PARTY.","","","","","",""
"Y","Events","__SEV","severity","Severity/Intensity","270","C","80","","text","","Perm","CRF","RecordQualifier","*","","UPPERCASE","The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.","The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.","Y","","Y","","",""
"Y","Events","__SER","serious","Serious Event","280","C","2","","text","NY","Exp","CRF","RecordQualifier","(NY)","","UPPERCASE","Is this is a serious event? Valid values are ""Y"" and ""N"".","Is this is a serious event? Valid values are ""Y"" and ""N"".","Y","","Y","","",""
"Y","Events","__ACN","action_taken","Action Taken with Study Treatment","290","C","40","","text","ACN","Exp","CRF","RecordQualifier","(ACN)","","UPPERCASE","Describes changes made to the study treatment as a result of the event. Examples: DOSE INCREASED, DOSE NOT CHANGED.","Describes changes made to the study treatment as a result of the event. Examples: DOSE INCREASED, DOSE NOT CHANGED.","Y","","Y","","",""
"Y","Events","__ACNOTH","","Other Action Taken","300","C","200","","text","","Perm","CRF","RecordQualifier","","","UPPERCASE","Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment.","Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment.","Y","","Y","","",""
"Y","Events","__ACNDEV","","Action Taken with Device","310","C","80","","text","","Perm","","RecordQualifier","*","","UPPERCASE","","Action taken with respect to a device in a study, which may or may not be the device under study","","","","","",""
"Y","Events","__REL","causality","Causality","320","C","80","","text","","Exp","CRF","RecordQualifier","*","","UPPERCASE","Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED.","Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED.","Y","","Y","","",""
"Y","Events","__RELNST","","Relationship to Non-Study Treatment","330","C","40","","text","","Perm","CRF","RecordQualifier","","","UPPERCASE","An opinion as to whether the event may have been due to a treatment other than study drug. Example: ""MORE LIKELY RELATED TO ASPIRIN USE.""","An opinion as to whether the event may have been due to a treatment other than study drug. Example: ""MORE LIKELY RELATED TO ASPIRIN USE.""","","","","","",""
"Y","Events","__PATT","","Pattern of Event","340","C","80","","text","","Perm","","RecordQualifier","*","","UPPERCASE","Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.","Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.","","","","","",""
"Y","Events","__OUT","outcome","Outcome of Event","350","C","40","","text","OUT","Perm","CRF","RecordQualifier","(OUT)","","UPPERCASE","Description of the outcome of an event. Examples: RECOVERED/RESOLVED, FATAL.","Description of the outcome of an event. Examples: RECOVERED/RESOLVED, FATAL.","","","","","",""
"Y","Events","__SCAN","","Involves Cancer","360","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Was the event associated with the development of cancer? Valid values are ""Y"" and ""N"".","Was the event associated with the development of cancer? Valid values are ""Y"" and ""N"".","","","","","",""
"Y","Events","__SCONG","congenital","Congenital Anomaly or Birth Defect","370","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Was the event associated with congenital anomaly or birth defect? Valid values are ""Y"" and ""N"".","Was the event associated with congenital anomaly or birth defect? Valid values are ""Y"" and ""N"".","","","","","",""
"Y","Events","__SDISAB","disability","Persist or Signif Disability/Incapacity","380","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Did the event result in persistent or significant disability/incapacity? Valid values are ""Y"" and ""N"".","Did the event result in persistent or significant disability/incapacity? Valid values are ""Y"" and ""N"".","","","","","",""
"Y","Events","__SDTH","death","Results in Death","390","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Did the event result in death? Valid values are ""Y"" and ""N"".","Did the event result in death? Valid values are ""Y"" and ""N"".","Y","","Y","","",""
"Y","Events","__SHOSP","hospitalisation","Requires or Prolongs Hospitalization","400","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Did the event require or prolong hospitalization? Valid values are ""Y"" and ""N"".","Did the event require or prolong hospitalization? Valid values are ""Y"" and ""N"".","Y","","Y","","",""
"Y","Events","__SLIFE","life_threatening","Is Life Threatening","410","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Was the event life threatening? Valid values are ""Y"" and ""N"".","Was the event life threatening? Valid values are ""Y"" and ""N"".","Y","","Y","","",""
"Y","Events","__SOD","","Occurred with Overdose","420","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Did the event occur with an overdose? Valid values are ""Y"" and ""N"".","Did the event occur with an overdose? Valid values are ""Y"" and ""N"".","","","","","",""
"Y","Events","__SMIE","","Other Medically Important Serious Event","430","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","Do additional categories for seriousness apply? Valid values are ""Y"" and ""N"".","Do additional categories for seriousness apply? Valid values are ""Y"" and ""N"".","Y","","Y","","",""
"Y","Events","__CONTRT","","Concomitant or Additional Trtmnt Given","440","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","Was another treatment given because of the occurrence of the event? Valid values are ""Y"" and ""N"".","Was another treatment given because of the occurrence of the event? Valid values are ""Y"" and ""N"".","Y","","Y","","",""
"Y","Events","__TOX","toxicity","Toxicity","450","C","80","","text","","Perm","Assigned","VariableQualifier","*","","UPPERCASE","Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.xml document.","Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define- XML document.","Y","","Y","","",""
