basic_std,table,column,label,order,type,length,displayformat,xmldatatype,xmlcodelist,xmlcodelist_multi,core,origin,role,term,algorithm,qualifiers,comment,IGcomment,class_table,class_column,map_var_flag,fixed_mapping,include_in_raw,nn_internal,value_lvl_where_cols,value_lvl_label_col,value_lvl_collect_ct_val,value_lvl_ct_cdlist_id_col,enrich_build_order,enrich_rule,xmlcodelistvalues
Y,AE,AEHLT,High Level Term,170,C,200,,text,,,Exp,Assigned,VariableQualifier,MedDRA,,MIXEDCASE,,Dictionary-derived text description of the High Level Term for the primary System Organ Class.,EVENTS,__HLT,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AEHLTCD,High Level Term Code,180,N,8,,integer,,,Exp,Assigned,VariableQualifier,MedDRA,,,,Dictionary-derived code for the High Level Term for the primary System Organ Class.,EVENTS,__HLTCD,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AEHLGT,High Level Group Term,190,C,200,,text,,,Exp,Assigned,VariableQualifier,MedDRA,,MIXEDCASE,,Dictionary-derived text description of the High Level Group Term for the primary System Organ Class.,EVENTS,__HLGT,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AEHLGTCD,High Level Group Term Code,200,N,8,,integer,,,Exp,Assigned,VariableQualifier,MedDRA,,,,Dictionary-derived code for the High Level Group Term for the primary System Organ Class.,EVENTS,__HLGTCD,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AECAT,Category for Adverse Event,210,C,60,,text,,,Perm,Assigned,GroupingQualifier,*,,UPPERCASE,,"Used to define a category of related records. Example: BLEEDING, NEUROPSYCHIATRIC.",EVENTS,__CAT,Y,,Y,,,,,,,,
Y,AE,AESCAT,Subcategory for Adverse Event,220,C,60,,text,,,Perm,Assigned,GroupingQualifier,*,,UPPERCASE,,A further categorization of adverse event. Example: NEUROLOGIC.,EVENTS,__SCAT,Y,,Y,,,,,,,,
Y,AE,AEPRESP,Pre-Specified Adverse Event,230,C,2,,text,NY,,Perm,,VariableQualifier,(NY),,UPPERCASE,,"A value of ""Y"" indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free- text verbatim terms)",EVENTS,__PRESP,Y,,Y,,,,,,,,Y
Y,AE,AEBODSYS,Body System or Organ Class,240,C,200,,text,,,Exp,Assigned,RecordQualifier,MedDRA,,MIXEDCASE,,"Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",EVENTS,__BODSYS,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AEBDSYCD,Body System or Organ Class Code,250,N,8,,integer,,,Exp,Assigned,VariableQualifier,MedDRA,,,,"Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC.",EVENTS,__BDSYCD,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AESOC,Primary System Organ Class,260,C,200,,text,,,Exp,Assigned,VariableQualifier,MedDRA,,MIXEDCASE,,Dictionary-derived text description of the primary System Organ Class. Will be the same as AEBODSYS if the primary SOC was used for analysis.,EVENTS,__SOC,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AESOCCD,Primary System Organ Class Code,270,N,8,,integer,,,Exp,Assigned,VariableQualifier,MedDRA,,,,Dictionary-derived code for the primary System Organ Class. Will be the same as AEBDSYCD if the primary SOC was used for analysis.,EVENTS,__SOCCD,,,,,,,,,30,sdtme_std_cd_v$$,
Y,AE,AELOC,Location of Event,280,C,100,,text,LOC,,Perm,,RecordQualifier,(LOC),,UPPERCASE,,"Describes anatomical location relevant for the event (e.g., ARM for skin rash).",EVENTS,__LOC,Y,,Y,,,,,,,,
Y,AE,AESEV,Severity/Intensity,290,C,80,,text,AESEV,,Perm,,RecordQualifier,(AESEV),,UPPERCASE,,"The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.",EVENTS,__SEV,Y,,Y,,,,,,,,
Y,AE,AESER,Serious Event,300,C,2,,text,NY,,Exp,,RecordQualifier,(NY),,UPPERCASE,,Is this a serious event?,EVENTS,__SER,Y,,Y,,,,,,,,
Y,AE,AEACN,Action Taken with Study Treatment,310,C,40,,text,ACN,,Exp,,RecordQualifier,(ACN),,UPPERCASE,,"Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE.",EVENTS,__ACN,,,,,AEACN,,,,,,
Y,AE,AEACNOTH,Other Action Taken,320,C,200,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,"Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: ""TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.""",EVENTS,__ACNOTH,Y,,Y,,,,,,,,
,AE,AEACNDEV,Action Taken with Device,330,C,80,,text,AEACNDEV,,Perm,,RecordQualifier,*,,UPPERCASE,,"Action taken with respect to a device in a study, which may or may not be the device under study",EVENTS,__ACNDEV,,,,,,,,,,,
Y,AE,AEREL,Causality,340,C,80,,text,AEREL,,Exp,,RecordQualifier,*,,UPPERCASE,,"Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this variable.",EVENTS,__REL,,,,,AEREL,,,,,,
Y,AE,AERELNST,Relationship to Non-Study Treatment,350,C,40,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,"Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE."".",EVENTS,__RELNST,,,,,,,,,,,
Y,AE,AEPATT,Pattern of Adverse Event,360,C,80,,text,,,Perm,,RecordQualifier,*,,UPPERCASE,,"Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.",EVENTS,__PATT,,,,,,,,,,,
Y,AE,AEOUT,Outcome of Adverse Event,370,C,40,,text,OUT,,Perm,,RecordQualifier,(OUT),,UPPERCASE,,Description of the outcome of an event.,EVENTS,__OUT,Y,,Y,,,,,,,,
Y,AE,AESCAN,Involves Cancer,380,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Was the serious event associated with the development of cancer?,EVENTS,__SCAN,,,,,,,,,,,
Y,AE,AESCONG,Congenital Anomaly or Birth Defect,390,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Was the serious event associated with congenital anomaly or birth defect?,EVENTS,__SCONG,Y,,Y,,,,,,,,
Y,AE,AESDISAB,Persist or Signif Disability/Incapacity,400,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Did the serious event result in persistent or significant disability/incapacity?,EVENTS,__SDISAB,Y,,Y,,,,,,,,
Y,AE,AESDTH,Results in Death,410,C,2,,text,NY,,Perm,Derived,RecordQualifier,(NY),If AE record exists with AEOUT=FATAL then AESDTH=Y,UPPERCASE,,Did the serious event result in death?,EVENTS,__SDTH,Y,,Y,,,,,,,,
Y,AE,AESHOSP,Requires or Prolongs Hospitalization,420,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Did the serious event require or prolong hospitalization?,EVENTS,__SHOSP,Y,,Y,,,,,,,,
Y,AE,AESLIFE,Is Life Threatening,430,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Was the serious event life threatening?,EVENTS,__SLIFE,Y,,Y,,,,,,,,
Y,AE,AESOD,Occurred with Overdose,440,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Did the serious event occur with an overdose?,EVENTS,__SOD,,,,,,,,,,,
Y,AE,AESMIE,Other Medically Important Serious Event,450,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Do additional categories for seriousness apply?,EVENTS,__SMIE,Y,,Y,,,,,,,,
Y,AE,AECONTRT,Concomitant or Additional Trtmnt Given,460,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Was another treatment given because of the occurrence of the event?,EVENTS,__CONTRT,,,,,,,,,,,
Y,AE,AETOXGR,Standard Toxicity Grade,470,C,80,,text,,,Perm,,RecordQualifier,*,,UPPERCASE,,"Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see Assumption 6d). If value is from a numeric scale, represent only the number (e.g., ""2"" and not ""Grade 2"").",EVENTS,__TOXGR,Y,,Y,,,,,,,,
,AE,AEEPRELI,Epi/Pandemic Related Indicator,480,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0,NSV,__EPRELI,Y,,Y,,,,,,80,sdtme_std_epreli_v$$,Y
,AE,ETCD,Element Code,490,C,8,,text,,,Req,Assigned,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",NN DEFINED,ETCD,,,,,,,,,50,sdtme_std_etcd_v$$,
,AE,ELEMENT,Description of Element,500,C,40,,text,,,Req,Protocol,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,The name of the Element.,NN DEFINED,ELEMENT,,,,,,,,,50,sdtme_std_etcd_v$$,
,AE,EPOCH,Epoch,510,C,40,,text,EPOCH,,Perm,Protocol,Timing,(EPOCH),,UPPERCASE,Set based on the SE domain,"Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).",TIMING,EPOCH,,,,,,,,,40,sdtme_std_epoch_v$$,
Y,AE,AESTDTC,Start Date/Time of Adverse Event,520,C,64,,datetime,,,Exp,,Timing,ISO 8601,,UPPERCASE DATETIME,,,TIMING,__STDTC,Y,,Y,,,,,,,,
Y,AE,AEENDTC,End Date/Time of Adverse Event,530,C,64,,datetime,,,Exp,,Timing,ISO 8601,,UPPERCASE DATETIME,,,TIMING,__ENDTC,Y,,Y,,,,,,,,
Y,AE,AESTDY,Study Day of Start of Adverse Event,540,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = AESTDTC - RFSTDTC+1 if AESTDTC is on or after RFSTDTC,AESTDTC - RFSTDTC if AESTDTC precedes RFSTDTC",,,Study day of start of adverse event relative to the sponsor-defined RFSTDTC.,TIMING,__STDY,,,,,,,,,10,sdtme_std_dy_v$$,
Y,AE,AEENDY,Study Day of End of Adverse Event,550,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = AEENDTC - RFSTDTC+1 if AEENDTC is on or after RFSTDTC,AEENDTC - RFSTDTC if AEENDTC precedes RFSTDTC",,,Study day of end of event relative to the sponsor-defined RFSTDTC.,TIMING,__ENDY,,,,,,,,,10,sdtme_std_dy_v$$,
Y,AE,AEDUR,Duration of Adverse Event,560,C,64,,text,,,Perm,,Timing,ISO 8601,,UPPERCASE DURATION,,"Collected duration and unit of an adverse event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).",TIMING,__DUR,Y,,Y,,,,,,,,
Y,AE,AEENRF,End Relative to Reference Period,570,C,20,,text,STENRF,,Perm,,Timing,(STENRF),,UPPERCASE,,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial. This variable is proposed for deletion post SDTM V1.4.,TIMING,__ENRF,Y,,Y,,,,,,,,
,AE,AESTRTPT,Start Relative to Reference Time Point,580,C,40,,text,STENRF,,Perm,Assigned,Timing,(STENRF),,UPPERCASE,,,TIMING,__STRTPT,Y,,Y,,,,,,,,
,AE,AESTTPT,Start Reference Time Point,590,C,40,,text,,,Perm,Assigned,Timing,,,UPPERCASE,,,TIMING,__STTPT,Y,,Y,,,,,,,,
Y,AE,AEENRTPT,End Relative to Reference Time Point,600,C,40,,text,STENRF,,Perm,Assigned,Timing,(STENRF),,UPPERCASE,,Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.,TIMING,__ENRTPT,Y,,Y,,,,,,,,
Y,AE,AEENTPT,End Reference Time Point,610,C,40,,text,,,Perm,Assigned,Timing,,,UPPERCASE,,"Description of date/time in ISO 8601 character format of the reference point referred to by AEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",TIMING,__ENTPT,Y,,Y,,,,,,,,
,AG,CDMS_SUB_EVT_NUM,CDMS Repeat Sequence Number,10,N,8,,integer,,,Perm,,RecordQualifier,,,,,,NN DEFINED,CDMS_SUB_EVT_NUM,,src.cdms_sub_evt_num,Y,Y,,,,,,,
,AG,TOPIC_CD,CDW Topic Code,20,C,80,,text,,,Perm,,Topic,,,,,,NN DEFINED,TOPIC_CD,,src.topic_cd,Y,Y,,,,,,,
,AG,STUDYID,Study Identifier,30,C,40,,text,,,Req,Protocol,Identifier,,,UPPERCASE,,,IDENTIFIERS,STUDYID,*,,Y,,,,,,,,
,AG,DOMAIN,Domain Abbreviation,40,C,8,,text,,,Req,Assigned,Identifier,,,UPPERCASE,,,IDENTIFIERS,DOMAIN,*,,Y,,,,,,,,
,AG,USUBJID,Unique Subject Identifier,50,C,60,,text,,,Req,Assigned,Identifier,,,UPPERCASE,Concatenation of STUDYID and DM.SUBJID,,IDENTIFIERS,USUBJID,*,,Y,,,,,,,,
,AG,SPDEVID,Sponsor Device Identifier,60,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Sponsor-defined identifier for a device,IDENTIFIERS,SPDEVID,Y,,Y,,,,,,,,
,AG,AGSEQ,Sequence Number,70,N,8,,integer,,,Req,Derived,Identifier,,Sequential number identifying records within each USUBJID,,,,IDENTIFIERS,__SEQ,*,,Y,,,,,,,,
,AG,AGGRPID,Group ID,80,C,60,,text,,,Perm,,Identifier,,,UPPERCASE,,,IDENTIFIERS,__GRPID,Y,,Y,,,,,,,,
,AG,AGREFID,Reference ID,90,C,40,,text,,,Perm,,Identifier,,,UPPERCASE,,"Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.",IDENTIFIERS,__REFID,Y,,Y,,,,,,,,
,AG,AGSPID,Sponsor-Defined Identifier,100,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,"System generated unique identifier, can be used as reference to the ADaM domains",,IDENTIFIERS,__SPID,*,,Y,,,,,,,,
,AG,AGLNKID,Link ID,110,C,40,,text,,,Perm,,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.,IDENTIFIERS,__LNKID,Y,,Y,,,,,,,,
,AG,AGLNKGRP,Link Group ID,120,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.,IDENTIFIERS,__LNKGRP,Y,,Y,,,,,,,,
,AG,AGTRT,Name of Treatment,130,C,200,,text,,,Req,,Topic,*,,UPPERCASE,,,INTERVENTIONS,__TRT,Y,,Y,,,,,,,,
,AG,AGMODIFY,Modified Treatment Name,140,C,200,,text,,,Perm,,SynonymQualifier,,,UPPERCASE,,,INTERVENTIONS,__MODIFY,Y,,Y,,,,,,,,
,AG,AGDECOD,Standardized Treatment Name,150,C,200,,text,,,Perm,Assigned,SynonymQualifier,*,,MIXEDCASE,,,INTERVENTIONS,__DECOD,Y,,Y,,,,,,,,
,AG,AGCAT,Category,160,C,60,,text,AGCAT,,Perm,Assigned,GroupingQualifier,*,,UPPERCASE,,,INTERVENTIONS,__CAT,Y,src.cat,Y,,,,,,,,
,AG,AGSCAT,Subcategory,170,C,60,,text,,,Perm,Assigned,GroupingQualifier,*,,UPPERCASE,,,INTERVENTIONS,__SCAT,Y,src.sub_cat,Y,,,,,,,,
,AG,AGPRESP,Pre-specified,180,C,2,,text,NY,,Perm,,VariableQualifier,(NY),,UPPERCASE,,,INTERVENTIONS,__PRESP,Y,,Y,,,,,,,,Y
,AG,AGOCCUR,Occurrence,190,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,,INTERVENTIONS,__OCCUR,Y,,Y,,,,,,,,Y|N
,AG,AGSTAT,Completion Status,200,C,40,,text,ND,,Perm,Derived,RecordQualifier,(ND),"Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF",UPPERCASE,"Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF",,INTERVENTIONS,__STAT,Y,,Y,,,,,,,,
,AG,AGREASND,Reason Not Done,210,C,200,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,,INTERVENTIONS,__REASND,Y,,Y,,,,,,,,
,AG,AGCLAS,Class,220,C,200,,text,,,Perm,,VariableQualifier,*,,UPPERCASE,,,INTERVENTIONS,__CLAS,Y,,Y,,,,,,,,
,AG,AGCLASCD,Class Code,230,C,40,,text,,,Perm,,VariableQualifier,*,,UPPERCASE,,,INTERVENTIONS,__CLASCD,Y,,Y,,,,,,,,
,AG,AGDOSE,Dose,240,N,8,8.3,float,,,Perm,,RecordQualifier,,,,,,INTERVENTIONS,__DOSE,Y,,Y,,,,,,,,
,AG,AGDOSTXT,Dose Description,250,C,200,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,,INTERVENTIONS,__DOSTXT,Y,,Y,,,,,,,,
,AG,AGDOSU,Dose Units,260,C,40,,text,UNIT,,Perm,,VariableQualifier,(UNIT),,MIXEDCASE,,,INTERVENTIONS,__DOSU,Y,,Y,,,,,,,,
,AG,AGDOSFRM,Dose Form,270,C,80,,text,FRM,,Perm,,VariableQualifier,(FRM),,UPPERCASE,,,INTERVENTIONS,__DOSFRM,Y,,Y,,,,,,,,
,AG,AGDOSFRQ,Dosing Frequency per Interval,280,C,40,,text,FREQ,,Perm,,VariableQualifier,(FREQ),,UPPERCASE,,,INTERVENTIONS,__DOSFRQ,Y,,Y,,,,,,,,
,AG,AGROUTE,Route of Administration,290,C,40,,text,ROUTE,,Perm,,VariableQualifier,(ROUTE),,UPPERCASE,,,INTERVENTIONS,__ROUTE,Y,,Y,,,,,,,,
,AG,ETCD,Element Code,300,C,8,,text,,,Req,Assigned,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",NN DEFINED,ETCD,,,,,,,,,50,sdtme_std_etcd_v$$,
,AG,ELEMENT,Description of Element,310,C,40,,text,,,Req,Protocol,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,The name of the Element.,NN DEFINED,ELEMENT,,,,,,,,,50,sdtme_std_etcd_v$$,
,AG,VISITNUM,Visit Number,320,N,8,8.1,float,,,Exp,Protocol,Timing,,,,Multiple unscheduled visits or non-visits can exist having the same visit ID but with different dates. This might result in duplicate records for the same visit number but with different dates,,TIMING,VISITNUM,,src.vis_id,Y,,,,,,,,
,AG,VISIT,Visit Name,330,C,40,,text,,,Perm,Protocol,Timing,,,UPPERCASE,,,TIMING,VISIT,,,,,,,,,10,sdtme_std_visit_v$$,
,AG,VISITDY,Planned Study Day of Visit,340,N,8,,integer,,,Perm,Assigned,Timing,,,,Based on TV.VISITDY,,TIMING,VISITDY,,,,,,,,,20,sdtme_std_visitdy_v$$,
,AG,EPOCH,Epoch,350,C,40,,text,EPOCH,,Perm,Protocol,Timing,(EPOCH),,UPPERCASE,Set based on the SE domain,"Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).",TIMING,EPOCH,,,,,,,,,40,sdtme_std_epoch_v$$,
,AG,AGSTDTC,Start Date/Time of Observation,360,C,64,,datetime,,,Perm,,Timing,ISO 8601,,UPPERCASE DATETIME,,,TIMING,__STDTC,Y,,Y,,,,,,,,
,AG,AGENDTC,End Date/Time of Observation,370,C,64,,datetime,,,Perm,,Timing,ISO 8601,,UPPERCASE DATETIME,,,TIMING,__ENDTC,Y,,Y,,,,,,,,
,AG,AGSTDY,Study Day of Start of Observation,380,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = AGSTDTC - RFSTDTC+1 if AGSTDTC is on or after RFSTDTC,AGSTDTC - RFSTDTC if AGSTDTC precedes RFSTDTC",,,,TIMING,__STDY,,,,,,,,,30,sdtme_std_dy_v$$,
,AG,AGENDY,Study Day of End of Observation,390,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = AGENDTC - RFSTDTC+1 if AGENDTC is on or after RFSTDTC,AGENDTC - RFSTDTC if AGENDTC precedes RFSTDTC",,,,TIMING,__ENDY,,,,,,,,,30,sdtme_std_dy_v$$,
,AG,AGDUR,Duration,400,C,64,,text,,,Perm,,Timing,ISO 8601,,UPPERCASE DURATION,,,TIMING,__DUR,Y,,Y,,,,,,,,
,AG,AGTPT,Planned Time Point Name,410,C,80,,text,,,Perm,,Timing,,,UPPERCASE,,"Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See --TPTNUM and -- TPTREF.",TIMING,__TPT,Y,,Y,,,,,,,,
,AG,AGTPTNUM,Planned Time Point Number,420,N,8,8.1,float,,,Perm,,Timing,,,,,Numeric version of planned time point used in sorting.,TIMING,__TPTNUM,Y,,Y,,,,,,,,
,AG,AGELTM,Planned Elapsed Time from Time Point Ref,430,C,64,,text,,,Perm,,Timing,ISO 8601,,UPPERCASE DURATION,,"Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration.",TIMING,__ELTM,Y,,Y,,,,,,,,
,AG,AGTPTREF,Time Point Reference,440,C,40,,text,,,Perm,,Timing,,,UPPERCASE,,"Description of the fixed reference point referred to by --ELTM, --TPTNUM, and --TPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",TIMING,__TPTREF,Y,,Y,,,,,,,,
,AG,AGRFTDTC,Date/Time of Reference Time Point,450,C,64,,datetime,,,Perm,,Timing,ISO 8601,,UPPERCASE DATETIME,,Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format.,TIMING,__RFTDTC,Y,,Y,,,,,,,,
,AG,AGSTRF,Start Relative to Reference Period,460,C,20,,text,STENRF,,Perm,,Timing,(STENRF),,UPPERCASE,,,TIMING,__STRF,Y,,Y,,,,,,,,
,AG,AGENRF,End Relative to Reference Period,470,C,20,,text,STENRF,,Perm,,Timing,(STENRF),,UPPERCASE,,,TIMING,__ENRF,Y,,Y,,,,,,,,
,AG,AGSTRTPT,Start Relative to Reference Time Point,480,C,40,,text,STENRF,,Perm,,Timing,(STENRF),,UPPERCASE,,,TIMING,__STRTPT,Y,,Y,,,,,,,,
