CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
FINDSCAT,ACUTE KIDNEY INJURY CONDITIONS FIND_SUB_CAT,AKI Conditions,,,1,,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event
FINDSCAT,ACUTE KIDNEY INJURY IMAGING FIND_SUB_CAT,AKI Imaging,,,1,,,Acute Kidney Injury: Imaging details
FINDSCAT,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS FIND_SUB_CAT,AKI Nephrotoxic Treatment,,,1,,,Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months
FINDSCAT,ACUTE KIDNEY INJURY PRESENT FIND_SUB_CAT,AKI Presence of Event,,,1,,,Acute Kidney Injury: How did the event present itself
FINDSCAT,ACUTE PANCREATITIS SIGNS AND SYMPTOMS FIND_SUB_CAT,APAN Acute Pancreatitis Signs and Symp,,,1,,,"Acute Pancreatitis Signs and Symptoms 
Were other signs/symptoms present during the course of the event?"
FINDSCAT,AE OUTCOME MOTHER FIND_SUB_CAT,AE Outcome Mother,,,1,,,"AE Outcome Mother"
FINDSCAT,AGE FIND_SUB_CAT,Age,,,11,,,"Age subcategory for e.g. inclusion or exclusion criteria"
FINDSCAT,AGITATION/AGGRESSION FIND_SUB_CAT,Agitation/Aggression,,,1,,,"AGITATION/AGGRESSION subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,ANXIETY FIND_SUB_CAT,Anxiety,,,1,,,"ANXIETY subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,APATHY/INDIFFERENCE FIND_SUB_CAT,Apathy/Indifference,,,1,,,"APATHY/INDIFFERENCE subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,APPETITE AND EATING DISORDERS FIND_SUB_CAT,Appetite and Eating Disorders,,,1,,,"APPETITE AND EATING DISORDERS subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,ARMS FIND_SUB_CAT,Arms,,,1,,,"Arms subcategory for Pediatric Hemophilia Activities List Parents' version.
An activities questionnaire for children and teenagers aged 4-17 with haemophilia V0.12"
FINDSCAT,ARRHYTHMIA CLASSIFICATION FIND_SUB_CAT,Arrhythmia Classification,,,1,,,Arrhythmia classification
FINDSCAT,ARRHYTHMIA LIKELY CAUSE FIND_SUB_CAT,Arrhythmia Likely Cause,,,1,,,Arrhythmia likely cause
FINDSCAT,ARRHYTHMIA TREATMENT FIND_SUB_CAT,Arrhythmia Treatment,,,1,,,Arrhythmia treatment
FINDSCAT,ATTENTION FIND_SUB_CAT,Attention,,,1,,,Subcategory for Montreal Cognitive Assessment (MoCA) with individual items.
FINDSCAT,ATTENTION AND CALCULATION (SERIAL 7S) FIND_SUB_CAT,Attention and Calculation (Serial 7S),,,1,,,"Attention and calculation (serial 7s) subcategory for Mini-Mental State Examination (MMSE) (MMSE Copyright 1975, 1998, 2001 by MiniMental, LLC All rights reserved. Published 2001 by Psychological Assessment Resources, Inc. May not be reproduced in whole or in part in any form or by any means without written permission of Psychological Assessment Resources, Inc.)."
FINDSCAT,BARRIERS IN INSULIN TREATMENT FIND_SUB_CAT,Barriers in Insulin Treatment,,,257,,,Barriers in Insulin Treatment
FINDSCAT,BES FIND_SUB_CAT,Binge Eating Scale,,,21,,,"Binge Eating Scale"
FINDSCAT,BLEEDS FIND_SUB_CAT,Bleeds,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group I (4-7 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group II (8-12 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group III (13-16 years).

Bleeds"
FINDSCAT,BMI FIND_SUB_CAT,BMI,,,22,,,"BMI subcategory for e.g. inclusion or exclusion criteria"
FINDSCAT,BODY ESTEEM FIND_SUB_CAT,Body Esteem,,,1,,,BODY ESTEEM subcategory for Impact of Weight on Quality of Life Kids Questionnaire
FINDSCAT,BURDEN FIND_SUB_CAT,Burden,,,103,,,Burden
FINDSCAT,BURDEN OF DISEASE PREDOMINANT REASON FIND_SUB_CAT,Burden of Disease Predominant Reason,,,1,,,Burden of disease predominant reason
FINDSCAT,C-SSRS FIND_SUB_CAT,Columbia Suicidality Sev. Rating Scale,,,30,,,"Columbia Suicidality Severity Rating Scale"
FINDSCAT,CAREGIVER HEALTH CARE RESOURCE UTILISATION FIND_SUB_CAT,CG Health Care Resource Utilisation,,,4,,,Caregiver Health Care Resource Utilisation subcategory for the Resource Utilisation in Dementia Questionnaire
FINDSCAT,CAREGIVER TIME FIND_SUB_CAT,Caregiver Time,,,2,,,Caregiver Time subcategory for the Resource Utilisation in Dementia Questionnaire
FINDSCAT,CAREGIVER WORK STATUS FIND_SUB_CAT,Caregiver Work Status,,,3,,,Caregiver Work Status subcategory for the Resource Utilisation in Dementia Questionnaire
FINDSCAT,CENTRE/HOSPITAL FIND_SUB_CAT,Center/Hospital,,,105,,,Center/Hospital
FINDSCAT,CEREBROVASCULAR CONDITIONS FIND_SUB_CAT,CEE Conditions,,,1,,,"Were any conditions present that may have contributed to this event?"
FINDSCAT,CEREBROVASCULAR EVENT FIND_SUB_CAT,Cerebrovascular event,,,1,,,"Sponsor-defined: Cerebrovascular event
Adverse Event Reporting
CDISC has 3 different strokes:
1. HEMORRHAGIC STROKE (Hemorrhagic Cerebrovascular Accident) C95803
2. ISCHEMIC STROKE (Ischemic Cerebrovascular Accident) C95802
3. UNDETERMINED STROKE (Cerebrovascular Accident) C3390"
FINDSCAT,CEREBROVASCULAR NEUROLOGIC SYMPTOMS FIND_SUB_CAT,CEE Neurologic Symptoms,,,1,,,"Were there neurologic signs/symptoms of motor and/or sensory loss?"
FINDSCAT,CEREBROVASCULAR SIGNS AND SYMPTOMS FIND_SUB_CAT,CEE Signs and Symptoms,,,1,,,"Were any of the following signs/symptoms present?"
FINDSCAT,CEREBROVASCULAR TREATMENT FIND_SUB_CAT,CEE Treatment,,,1,,,"Was any treatment(s) given for this condition?"
FINDSCAT,CEREBROVASCULAR TYPE FIND_SUB_CAT,CEE Type,,,1,,,"Type of cerebrovascular event"
FINDSCAT,CHAIN AMYLOIDOSIS EXCLUDED FIND_SUB_CAT,Chain Amyloidosis Excluded,,,1,,,Chain Amyloidosis Excluded
FINDSCAT,CHOI 2011 FIND_SUB_CAT,Choi 2011,,,1,,,Actigraph - CHOI 2011
FINDSCAT,CHRONIC PANCREATITIS HISTORY COMPLICATIONS FIND_SUB_CAT,Chronic Pancreatitis History Complicatio,,,1,,,"Chronic Pancreatitis History Complications"
FINDSCAT,CHRONIC PANCREATITIS HISTORY DIAGNOSIS FIND_SUB_CAT,Chronic Pancreatitis History Diagnosis,,,1,,,Chronic Pancreatitis History Diagnosis
FINDSCAT,CHRONIC PANCREATITIS HISTORY PRIMARY AETIOLOGY FIND_SUB_CAT,Chron Pancreatitis His Primary Aetiology,,,1,,,Chronic Pancreatitis History Primary Aetiology
FINDSCAT,COGNITIVE RESTRAINT FIND_SUB_CAT,Cognitive Restraint,,,1,,,"Three Factor Eating Questionnaire (TFEQ)"
FINDSCAT,COMMANDS FIND_SUB_CAT,Commands,,,1,,,Subcategory for Alzheimer's Disease Assessment Scale - Cognitive Behavior Version 13 (ADAS-Cog V13) - Commands
FINDSCAT,COMMUNICATING FIND_SUB_CAT,Communicating,,,6,,,Communicating
FINDSCAT,COMPREHENSION FIND_SUB_CAT,Comprehension,,,1,,,"Comprehension subcategory for Mini-Mental State Examination (MMSE) (MMSE Copyright 1975, 1998, 2001 by MiniMental, LLC All rights reserved. Published 2001 by Psychological Assessment Resources, Inc. May not be reproduced in whole or in part in any form or by any means without written permission of Psychological Assessment Resources, Inc.)."
FINDSCAT,CONSTRUCTIONAL PRAXIS FIND_SUB_CAT,Constructional Praxis,,,1,,,Subcategory for Alzheimer's Disease Assessment Scale - Cognitive Behavior Version 13 (ADAS-Cog V13) - Constructional Praxis
FINDSCAT,CRANIAL NERVES FIND_SUB_CAT,Cranial Nerves,,,1,,,"Cranial Nerves subcategory for Clinical Neuropathy Assessment. Neuropathy Impairment Score (NIS). Dyck et al: Ann Neurol 8:590-596, 1980; Revised, Neurol 41:799-807, 1991 and Neurol 45:1115-1121, 1995"
FINDSCAT,DATA COLLECTION TIME FIND_SUB_CAT,Data Collection Time,,,1,,,Actigraph - Data collection time
FINDSCAT,DAY-TO-DAY ACTIVITIES FIND_SUB_CAT,Day-to-Day Activities,,,1,,,Day To Day Activities Sub Category for NASH CHECK Questionnaire
FINDSCAT,DEALING WITH HAEMOPHILIA FIND_SUB_CAT,Dealing with Haemophilia,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group II (8-12 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group III (13-16 years).

Dealing with Haemophilia"
FINDSCAT,DECLINE 3.0 MMOL/L FIND_SUB_CAT,Decline 3.0 mmol/L,,,1,,,Decline 3.0 mmol/L
FINDSCAT,DECLINE 3.9 MMOL/L FIND_SUB_CAT,Decline 3.9 mmol/L,,,1,,,Decline 3.9 mmol/L
FINDSCAT,DECLINE 5.5 MMOL/L FIND_SUB_CAT,Decline 5.5 mmol/L,,,1,,,Decline 5.5 mmol/L
FINDSCAT,DELAYED RECALL FIND_SUB_CAT,Delayed Recall,,,1,,,Subcategory for Montreal Cognitive Assessment (MoCA) with individual items.
FINDSCAT,DELAYED WORD RECALL FIND_SUB_CAT,Delayed Word Recall,,,1,,,Subcategory for Alzheimer's Disease Assessment Scale - Cognitive Behavior Version 13 (ADAS-Cog V13) - Delayed Word Recall
FINDSCAT,DELIVERY FIND_SUB_CAT,Delivery,,,41,,,Delivery
FINDSCAT,DELUSIONS FIND_SUB_CAT,Delusions,,,1,,,"DELUSIONS subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,DENTAL STATUS FIND_SUB_CAT,Dental Status,,,1,,,"Dental Status subcategory for Abnormal Involuntary Movement Scale. 
(Guy W. Ed. ECDEU Assessment Manual for Psychopharmacology. Rockville MD: US Dept of Health, Education and Welfare. 1976, Publication No. (ADM) 76-338)"
FINDSCAT,DEPRESSION RISK FACTORS FIND_SUB_CAT,Depression Risk Factors,,,1,,,"Depression Risk Factors"
FINDSCAT,DEPRESSION SIGNS AND SYMPTOMS FIND_SUB_CAT,Depression Signs and Symptoms,,,1,,,"Depression Signs and Symptoms"
FINDSCAT,DEPRESSION TREATMENT FIND_SUB_CAT,Depression Treatment,,,1,,,"Depression Treatment"
FINDSCAT,DEPRESSION/DYSPHORIA FIND_SUB_CAT,Depression/Dysphoria,,,1,,,"DEPRESSION/DYSPHORIA subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,DESCRIPTION OF PRIMARY CAREGIVER FIND_SUB_CAT,Description of Primary Caregiver,,,1,,,Description of Primary Caregiver subcategory for the Resource Utilisation in Dementia Questionnaire
FINDSCAT,DEVICE USABILITY 1 FIND_SUB_CAT,Device Usability 1,,,1,,,Device Usability 1 questionnaire-like form (visit 1)
FINDSCAT,DEVICE USABILITY 2 FIND_SUB_CAT,Device Usability 2,,,1,,,Device Usability 2 questionnaire-like form (visit 2)
FINDSCAT,DEVICE USABILITY 3 FIND_SUB_CAT,Device Usability 3,,,1,,,Device Usability 3 questionnaire-like form (visit 3)
FINDSCAT,DHP FIND_SUB_CAT,Diabetes Health Profile,,,41,,,Diabetes Health Profile Questionnaire (DHP)
FINDSCAT,DIABETES SEVERITY FIND_SUB_CAT,Diabetes Severity,,,1,,,Diabetes Severity subcategory for Patient Global Impression
FINDSCAT,DIABETIC RETINOPATHY FIND_SUB_CAT,Diabetic retinopathy,,,1,,,"Sponsor-defined: Diabetic retinopathy
Adverse Event Reporting"
FINDSCAT,DIAGNOSED BY FIND_SUB_CAT,Diagnosed by,,,1,,,ATTR diagnosed by
FINDSCAT,DIFFERENTIAL COUNT FIND_SUB_CAT,Differential count,,,43,,,Differential count
FINDSCAT,DIFFICULTY PERFORMING DAILY ACTIVITIES FIND_SUB_CAT,Difficulty Performing Daily Activities,,,1,,,DIFFICULTY PERFORMING DAILY ACTIVITIES subcategory for WOMAC Osteoarthritis Index NRS V3.1
FINDSCAT,DISEASE FIND_SUB_CAT,Disease,,,43,,,"Disease subcategory for e.g. inclusion or exclusion criteria"
FINDSCAT,DISINHIBITION FIND_SUB_CAT,Disinhibition,,,1,,,"DISINHIBITION subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,DOMAIN 1: CARDIOVASCULAR INCLUDING FALLS FIND_SUB_CAT,Domain 1: Cardiovascular Including Falls,,,1,,,Domain 1: Cardiovascular including falls subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 2: SLEEP/FATIGUE FIND_SUB_CAT,Domain 2: Sleep/Fatigue,,,2,,,Domain 2: Sleep/fatigue subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 3: MOOD/COGNITION FIND_SUB_CAT,Domain 3: Mood/Cognition,,,3,,,Domain 3: Mood/Cognition subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 4: PERCEPTUAL PROBLEMS/HALLUCINATIONS FIND_SUB_CAT,Domain 4: Perceptual Problems/Hallucinat,,,4,,,Domain 4: Perceptual problems/hallucinations subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 5: ATTENTION/MEMORY FIND_SUB_CAT,Domain 5: Attention/Memory,,,5,,,Domain 5: Attention/memory subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 6: GASTROINTESTINAL TRACT FIND_SUB_CAT,Domain 6: Gastrointestinal Tract,,,6,,,Domain 6: Gastrointestinal tract subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 7: URINARY FIND_SUB_CAT,Domain 7: Urinary,,,7,,,Domain 7: Urinary subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 8: SEXUAL FUNCTION FIND_SUB_CAT,Domain 8: Sexual Function,,,8,,,Domain 8: Sexual function subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOMAIN 9: MISCELLANEOUS FIND_SUB_CAT,Domain 9: Miscellaneous,,,9,,,Domain 9: Miscellaneous subcategory for Non-Motor Symptom Assessment Scale for Parkinson's Disease. The Non-Motor Symptoms Scale (NMSS) is a 30-item rater-based scale to assess a wide range of non-motor symptoms in patients with Parkinson's disease (PD). The NMSS measures the severity and frequency of non-motor symptoms across nine dimensions. The scale can be used for patients at all stages of PD. 2007
FINDSCAT,DOSING FIND_SUB_CAT,Dosing,,,3,,,Dosing
FINDSCAT,DPM FIND_SUB_CAT,Diabetes Productivity Measure,,,45,,,Diabetes Productivity Measure
FINDSCAT,DTR-QOL FIND_SUB_CAT,DTR-QOL,,,1,,,Sponsor defined: Diabetes Therapy Related -Quality of life Questionnaire
FINDSCAT,DTSQ FIND_SUB_CAT,Diabetes Treatment Satisfaction,,,47,,,Diabetes Treatment Satisfaction Questionnaire (DTSQ)
FINDSCAT,DUE CHANGES DEFAULT SETTINGS FIND_SUB_CAT,Patient Changes Default Settings,,,1,,,Device Use Error - Patient changes default settings on study phone
FINDSCAT,DUE MISUNDERSTAND DOSE FIND_SUB_CAT,Misunderstands Dose Recommendation,,,1,,,Device Use Error - Patient misunderstands insulin icodec dose recommendation from DoseGuide App
FINDSCAT,DUE NO DOSE RECOMMENDATION FIND_SUB_CAT,Patient Receives No Dose Recommendation,,,1,,,Device Use Error - Patient receives no dose recommendation
FINDSCAT,DUE OTHER FIND_SUB_CAT,Other,,,1,,,Device Use Error - Other
FINDSCAT,DUE ROOT CAUSE ASSESSMENT FIND_SUB_CAT,Investigators Root Cause Assessment,,,1,,,Device Use Error - Investigators root cause assessment of the error
FINDSCAT,DUE TRAINING BEFORE USE FIND_SUB_CAT,Training Before Use of DoseGuide App,,,1,,,Device Use Error - Training before use of the DoseGuide App
FINDSCAT,DUE WRONG INPUT DATA FIND_SUB_CAT,Patient Provides Wrong Input Data,,,1,,,"Device Use Error - Patient provides wrong input data, leading to receiving incorrect dose recommendation"
FINDSCAT,Device Specific Questionnaire I FIND_SUB_CAT,Device Specific Questionnaire I,,,40,,,Device Specific Questionnaire I
FINDSCAT,Device Specific Questionnaire II FIND_SUB_CAT,Device Specific Questionnaire II,,,40,,,Device Specific Questionnaire II
FINDSCAT,Diab-MedSat FIND_SUB_CAT,Diabetes Medication Satisfaction,,,42,,,Diabetes Medication Satisfaction Questionnaire
FINDSCAT,Diet and Activity Information Questionnaire FIND_SUB_CAT,Diet and Activity Information,,,40,,,Diet and Activity Information for Type 1 Diabetes
FINDSCAT,EASE AND CONVENIENCE FIND_SUB_CAT,Ease and Convenience,,,101,,,Ease and Convenience
FINDSCAT,EASE OF USE FIND_SUB_CAT,Ease of use,,,1,,,Ease of use subcategory for Injection Device Experience and Acceptance (IDEA) Questionnaire V1.0
FINDSCAT,ECHOCARDIOGRAPHY FIND_SUB_CAT,Echocardiography,,,1,,,Echocardiography
FINDSCAT,EFFICACY FIND_SUB_CAT,Efficacy,,,102,,,Efficacy
FINDSCAT,ELATION/EUPHORIA FIND_SUB_CAT,Elation/Euphoria,,,1,,,"ELATION/EUPHORIA subcategory for Neuropsychiatric Inventory (NPI) (copyright JL Cummings, 1994, all rights reserved; permission for commercial use required; npiTEST.net)"
FINDSCAT,EMOTIONAL EATING FIND_SUB_CAT,Emotional Eating,,,1,,,Three Factor Eating Questionnaire (TFEQ)
FINDSCAT,EMOTIONAL FUNCTIONING FIND_SUB_CAT,Emotional Functioning,,,1,,,Emotional Functioning subcategory for PedsQL Quality of Life Inventory Acute V4
FINDSCAT,EMOTIONS AND LIFESTYLE FIND_SUB_CAT,Emotions and Lifestyle,,,1,,,Emotions and Lifestyle Sub Category for NASH CHECK Questionnaire
FINDSCAT,ENERGY FIND_SUB_CAT,Energy,,,1,,,Energy subcategory for Patient Global Impression
FINDSCAT,ERROR DURING ADMINISTRATION FIND_SUB_CAT,Error During Administration,,,1,,,Error during administration
FINDSCAT,ERROR DURING STORAGE AND HANDLING FIND_SUB_CAT,Error During Storage and Handling,,,1,,,Error during storage and handling
FINDSCAT,ESS FIND_SUB_CAT,Epworth Sleepiness Scale,,,55,,,"CDISC code: C103517
CDISC submission value: ESS
CDISC synonyms: ESS01
CDISC definition: Epworth Sleepiness Scale (ESS) (copyright Murray W. Johns, 1990-1997. All rights reserved.).
NCI preferred term: Epworth Sleepiness Scale Questionnaire"
FINDSCAT,EXAMINATION OF THE PATIENT FIND_SUB_CAT,Examination of the Patient,,,2,,,EXAMINATION OF THE PATIENT subcategory for DN4 (Douleur Neuropathique 4 Questions) Questionnaire. Neuropathic pain screening tool. 2005. Bouhassira D. All rights reserved.
FINDSCAT,EXPERIENCE FIND_SUB_CAT,Experience,,,1,,,Experience subcategory for Injection Device Experience and Acceptance (IDEA) Questionnaire V1.0
FINDSCAT,EXTREMITY MOVEMENTS FIND_SUB_CAT,Extremity Movements,,,1,,,"Extremity Movements subcategory for Abnormal Involuntary Movement Scale. 
(Guy W. Ed. ECDEU Assessment Manual for Psychopharmacology. Rockville MD: US Dept of Health, Education and Welfare. 1976, Publication No. (ADM) 76-338)"
FINDSCAT,EYE RELATED EVENT OCCULAR OR INTRAOCCULAR INTERVENTION FIND_SUB_CAT,Eye Related Event Occular/Intraoccular,,,1,,,"Eye Related Event Occular/Intraoccular"
FINDSCAT,EYE RELATED EVENT SIGNS AND SYMPTOMS FIND_SUB_CAT,Eye Related Event Signs and Symptoms,,,1,,,"Eye related event signs and symptoms"
FINDSCAT,FACIAL AND ORAL MOVEMENTS FIND_SUB_CAT,Facial and Oral Movements,,,1,,,"Facial and Oral Movements subcategory for Abnormal Involuntary Movement Scale (AIMS) (Guy W. Ed. ECDEU Assessment Manual for Psychopharmacology. Rockville MD: US Dept of Health, Education and Welfare. 1976, Publication No. (ADM) 76-338)."
FINDSCAT,FAMILY FIND_SUB_CAT,Family,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group I (4-7 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group II (8-12 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group III (13-16 years).

Family"
FINDSCAT,FAMILY PLANNING FIND_SUB_CAT,Family Planning,,,1,,,"Hemophilia Quality of Life Questionnaire Adult Version (Haem-A-QoL)

Family Planning"
FINDSCAT,FAMILY RELATIONS FIND_SUB_CAT,Family Relations,,,1,,,FAMILY RELATIONS subcategory for Impact of Weight on Quality of Life Kids Questionnaire
FINDSCAT,FEEL MENTALLY FIND_SUB_CAT,Feel Mentally,,,1,,,Feel Mentally subcategory for Patient Global Impression
FINDSCAT,FEELING FIND_SUB_CAT,Feeling,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group I (4-7 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group II (8-12 years).

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Parent's Long Version Age Group III (13-16 years).

Feeling"
FINDSCAT,FEELING ABOUT YOURSELF FIND_SUB_CAT,Feeling About Yourself,,,1,,,"Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group II

Hemophilia Quality of Life (HAEMO-QOL) Questionnaire Children's Long Version Age Group III

Feeling About Yourself"
FINDSCAT,FOSQ FIND_SUB_CAT,Functional Outcomes Sleep Questionnaire,,,65,,,Functional Outcomes of Sleep Questionnaire (FOSQ)
