Row # (not a code),UCUM_CODE,"Description of the Unit (using UCUM descriptions where they exist)",Comment,Last Updated (see Revisions tab for details),Version correction published,Corrected by (initials RG = Rebecca Goodwin),"Row #
at time of correction (not a code)",Previous UCUM version (with Errors or Omissions),Description of Change Made
139,10*9/uL,billion per microliter,,,,,,,
140,10*9/mL,billion per milliliter,,,,,,,
141,{binding_index},binding index,,,,,,,
142,[bdsk'U],Bodansky unit,,,,,,,
143,{breaths}/min,breaths per minute,,,,,,,
144,{CAG_repeats},CAG trinucleotide repeats,,,,,,,
145,cal,calorie,,,,,,,
146,{cells},cells,,,,,,,
147,{cells}/[HPF],cells per high power field,,,,,,,
148,{cells}/uL,cells per microliter,,,,,,,
149,cg,centigram,,,,,,,
150,cL,centiliter,,,,,,,
151,cm,centimeter,,,,,,,
152,cm[Hg],centimeter of mercury,,,,,,,
153,cm[H2O],centimeter of water,,,,,,,
154,cm[H2O]/L/s,centimeter of water per liter per second,,,,,,,
155,cm[H2O]/s/m,centimeter of water per second per meter,,,,,,,
156,cm/s,centimeter per second,,,,,,,
157,cP,centipoise,,,,,,,
158,cSt,centistoke,,,,,,,
159,{delta_OD},change in (delta) optical density,,,,,,,
160,{clock_time},clock time e.g 12:30PM,,,,,,,
161,[CFU],colony forming unit,,,,,,,
162,[CFU]/L,colony forming unit per liter,,,,,,,
163,[CFU]/mL,colony forming unit per milliliter,,,,,,,
164,{CAE'U},complement activity enzyme unit,,,,,,,
165,{CH100'U},complement CH100 unit,,,,,,,
166,{copies},copies,,,,,,,
167,{copies}/ug,copies per microgram,,,,,,,
168,{copies}/mL,copies per milliliter,,,,,,,
169,{count},count,,,,,,,
170,{CPM},counts per minute,,,,,,,
171,{CPM}/10*3{cell},counts per minute per thousand cells,,,,,,,
172,cm3,cubic centimeter,,,,,,,
173,[cin_i],cubic inch (international),,,,,,,
174,m3/s,cubic meter per second,,,,,,,
175,{Ct_value},Cycle threshold value,,,,,,,
176,d,day,,,,,,,
177,d/(7.d),day per 7 day,,,,,,,
178,d/wk,days per week,,,,,,,
179,dB,decibel,,,,,,,
180,dg,decigram,,,,,,,
181,dL,deciliter,,,,,,,
182,dm,decimeter,,,,,,,
183,deg,degree (plane angle),,,,,,,
184,Cel,degree Celsius,,,,,,,
185,[degF],degree Fahrenheit,,,,,,,
186,K,degree Kelvin,,,,,,,
187,K/W,degree Kelvin per Watt,,,,,,,
188,deg/s,degree per second,,,,,,,
189,daL/min,dekaliter per minute,,,,,,,
190,daL/min/m2,dekaliter per minute per square meter,,,,,,,
191,{dilution},dilution,,,,,,,
192,[diop],diopter,,,,,,,
193,[dr_av],dram  (US and British),,,,,,,
194,[drp],drop (1/12 milliliter),,,,,,,
195,dyn.s/cm,dyne second per centimeter,,,,,,,
196,dyn.s/(cm.m2),dyne second per centimeter per square meter,,,,,,,
197,{Ehrlich'U},Ehrlich unit,,31-01-2014,v 1.2 released 2/6/2014,RG,73.0,{EhrlichU},Changed apostrophe format from  to '
198,{Ehrlich'U}/100.g,Ehrlich unit per 100 gram,,31-01-2014,v 1.2 released 2/6/2014,RG,74.0,{EhrlichU}/100g,Changed apostrophe format from  to ' and added period between 100 and g
199,{Ehrlich'U}/(2.h),Ehrlich unit per 2 hour,,31-01-2014,v 1.2 released 2/6/2014,RG,75.0,{EhrlichU}/(2.h),Changed apostrophe format from  to '
200,{Ehrlich'U}/d,Ehrlich unit per day,,31-01-2014,v 1.2 released 2/6/2014,RG,76.0,{EhrlichU}/d,Changed apostrophe format from  to '
201,{Ehrlich'U}/dL,Ehrlich unit per deciliter,,,,,,,
202,{EIA_index},EIA index,,,,,,,
203,{EIA_titer},EIA titer,,,,,,,
204,{EIA'U},EIA unit,,,,,,,
205,{EIA'U}/U,EIA unit per enzyme unit,,,,,,,
206,{EV},EIA value,,,,,,,
207,eV,electron Volt,,,,,,,
208,{ELISA'U},ELISA unit,,,,,,,
209,U,enzyme unit,,,,,,,
210,U/10,enzyme unit per 10,,,,,,,
211,U/10*10,enzyme unit per 10 billion,,,,,,,
212,U/10*10{cells},enzyme unit per 10 billion cells,,,,,,,
213,U/(10.g){feces},enzyme unit per 10 gram of feces,,,,,,,
214,U/(12.h),enzyme unit per 12 hour,,,,,,,
215,U/(2.h),enzyme unit per 2 hour,,,,,,,
216,U/(24.h),enzyme unit per 24 hour,,,,,,,
217,U/10*9,enzyme unit per billion,,,,,,,
218,U/d,enzyme unit per day,,,,,,,
219,U/dL,enzyme unit per deciliter,,,,,,,
220,U/g,enzyme unit per gram,,,,,,,
221,U/g{creat},enzyme unit per gram of creatinine,,,,,,,
222,U/g{Hb},enzyme unit per gram of hemoglobin,,,,,,,
223,U/g{protein},enzyme unit per gram of protein,,,,,99.0,U/g{protein},
224,U/h,enzyme unit per hour,,,,,,,
225,U/kg{Hb},enzyme unit per kilogram of hemoglobin,,,,,,,
226,U/L,enzyme unit per liter,,,,,,,
227,U{25Cel}/L,enzyme unit per liter at 25 deg Celsius ,,,,,,,
228,U{37Cel}/L,enzyme unit per liter at 37 deg Celsius,,,,,,,
229,U/mL,enzyme unit per milliliter,,,,,,,
230,U/mL{RBCs},enzyme unit per milliliter of red blood cells,,,,,,,
231,U/mmol{creat},enzyme unit per millimole of creatinine,,,,,,,
232,U/10*6,enzyme unit per million,,,,,,,
233,U/min,enzyme unit per minute,,,,,,,
234,U/s,enzyme unit per second,,,,,,,
235,U/10*12,enzyme unit per trillion,,,,,,,
236,U/10*12{RBCs},enzyme unit per trillion red blood cells,,,,,,,
237,eq,equivalent,,,,,,,
238,eq/L,equivalent per liter,,,,,,,
239,eq/umol,equivalent per micromole,,,,,,,
240,eq/mL,equivalent per milliliter,,,,,,,
241,eq/mmol,equivalent per millimole,,,,,,,
242,erg,erg,,,,,,,
243,F,Farad,,,,,,,
244,[ft_us]/[ft_us],feet (US) per feet (US),,,,,,,
245,fg,femtogram,,,,,,,
246,fL,femtoliter,,,,,,,
247,fm,femtometer,,,,,,,
248,fmol,femtomole,,,,,,,
249,fmol/g,femtomole per gram,,,,,,,
250,fmol/L,femtomole per liter,,,,,,,
251,fmol/mg,femtomole per milligram,,,,,,,
252,fmol/mg{cyt_prot},femtomole per milligram of cytosol protein,,30-07-2014,v 1.3 released 9/26/2014,RG,127.0,fmol/mg{cytosol_protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
253,fmol/mg{prot},femtomole per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,128.0,fmol/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
254,fmol/mL,femtomole per milliliter,,,,,,,
255,[foz_us],fluid ounce (US),,,,,,,
256,{FIU},fluorescent intensity unit,,,,,,,
257,[ft_i],foot (international),,,,,,,
258,{fraction},fraction,,,,,,,
259,[Ch],French (catheter gauge) ,,,,,,,
260,{GAA_repeats},GAA trinucleotide repeats,,,,,,,
261,[gal_us],gallon (US),,,,,,,
262,{genomes}/mL,genomes per milliliter,,,,,,,
263,{Globules}/[HPF],globules (drops)  per high power field,,,,,,,
264,g,gram,,,,,,,
265,g.m,gram meter,,,,,,,
266,g.m/{beat},gram meter per heart beat ,,,,,,,
267,g{creat},gram of creatinine,,,,,,,
268,g{Hb},gram of hemoglobin,,,,,,,
269,g{total_nit},gram of total nitrogen,,,,,,,
270,g{total_prot},gram of total protein,,,,,,,
271,g{wet_tissue},gram of wet tissue,,,,,,,
272,g/kg/(8.h),gram per  kilogram per 8 hour ,,31-01-2014,v 1.2 released 2/6/2014,RG,147.0,g/kg/8.h,Added parentheses around 8.h
273,g/(100.g),gram per 100 gram,,04-10-2011,v 1.1 released 10/4/2011,RG,148.0,g/100g,Added period between 100 and g
274,g/(12.h),gram per 12 hour,,,,,,,
275,g/(24.h),gram per 24 hour,,,,,,,
276,g/(3.d),gram per 3 days,,,,,,,
277,g/(4.h),gram per 4 hour,,,,,,,
278,g/(48.h),gram per 48 hour,,,,,,,
279,g/(5.h),gram per 5 hour,,,,,,,
280,g/(6.h),gram per 6 hour,,,,,,,
281,g/(72.h),gram per 72 hour,,,,,,,
282,g/(8.h){shift},gram per 8 hour shift,,,,,,,
283,g/cm3,gram per cubic centimeter,,,,,,,
284,g/d,gram per day,,,,,,,
285,g/dL,gram per deciliter,,,,,,,
286,g/g,gram per gram,,,,,,,
287,g/g{creat},gram per gram of creatinine,,,,,,,
288,g/g{globulin},gram per gram of globulin,,,,,,,
289,g/g{tissue},gram per gram of tissue,,,,,,,
290,g/h,gram per hour,,,,,,,
291,g/h/m2,gram per hour per square meter,,,,,,,
292,g/kg ,gram per kilogram,,31-01-2014,v 1.2 released 2/6/2014,RG,167.0,g/kg ,deleted trailing space after closing bracket
293,g/kg/(8.h){shift},gram per kilogram per 8 hour shift,,,,,,,
294,g/kg/d,gram per kilogram per day,,,,,,,
295,g/kg/h,gram per kilogram per hour,,,,,,,
296,g/kg/min,gram per kilogram per minute,,,,,,,
297,g/L,gram per liter,,,,,,,
298,g/mg,gram per milligram,,,,,,,
299,g/mL,gram per milliliter,,,,,,,
300,g/mmol,gram per millimole,,,,,,,
301,g/min,gram per minute,,,,,,,
302,g/mol{creat},gram per mole of creatinine,,,,,,,
303,g/{specimen},gram per specimen,,,,,,,
304,g/cm2,gram per square centimeter,,,,,,,
305,g/m2,gram per square meter,,,,,,,
306,g/{total_output},gram per total output,,,,,,,
307,g/{total_weight},gram per total weight,,,,,,,
308,Gy,Gray,,,,,,,
309,{beats}/min,heart beats per minute,,,,,,,
310,H,Henry,,,,,,,
311,Hz,Hertz,,,,,,,
312,[HPF],high power field,,,,,,,
313,h,hour,,,,,,,
314,h/d,hour per day,,,,,,,
315,h/wk,hour per week,,,,,,,
316,[APL'U]/mL,IgA anticardiolipin unit per milliliter**,"(**anticardiolipin can also be called ""biologic activity of anticardiolipin"" or ""antiphospholipid"")",,,,,,
317,[APL'U],IgA anticardiolipin unit**,"(**anticardiolipin can also be called ""biologic activity of anticardiolipin"" or ""antiphospholipid"")",,,,,,
318,{APS'U},IgA antiphosphatidylserine unit ,,,,,,,
319,[GPL'U]/mL,IgG anticardiolipin unit per milliliter**,"(**anticardiolipin can also be called ""biologic activity of anticardiolipin"" or ""antiphospholipid"")",,,,,,
320,[GPL'U],IgG anticardiolipin unit**,"(**anticardiolipin can also be called ""biologic activity of anticardiolipin"" or ""antiphospholipid"")",,,,,,
321,{GPS'U},IgG antiphosphatidylserine unit,,,,,,,
322,[MPL'U]/mL,IgM anticardiolipin unit per milliliter**,,,,,,,
323,[MPL'U],IgM anticardiolipin unit**,"(**anticardiolipin can also be called ""biologic activity of anticardiolipin"" or ""antiphospholipid"")",,,,,,
324,{MPS'U},IgM antiphosphatidylserine unit,,,,,,,
325,{MPS'U}/mL,IgM antiphosphatidylserine unit per milliliter,,,,,,,
326,{ImmuneComplex'U},immune complex unit,,31-01-2014,v 1.2 released 2/6/2014,RG,198.0,{ImmuneComplexU},Changed apostrophe format from  to '
327,{ISR},immune status ratio,,,,,,,
328,{IFA_index},immunofluorescence assay index,,,,,,,
329,{IFA_titer},Immunofluorescence assay titer,,,,,,,
330,[in_i],inch (international),,,,,,,
331,[in_i'H2O],inch (international) of water,,,,,,,
332,[in_us],inches (US),,,,,,,
333,{index_val},index value,,,,,,,
334,{index},index value,,,,,,,
335,{HA_titer},influenza hemagglutination titer,,,,,,,
336,{INR},international normalized ratio,,,,,,,
337,[IU],international unit,,,,,,,
338,[IU]/(2.h),international unit per 2 hour,,,,,,,
339,[IU]/(24.h),international unit per 24 hour,,,,,,,
340,[IU]/10*9{RBCs},international unit per billion red blood cells,,,,,,,
341,[IU]/d,international unit per day,,,,,,,
342,[IU]/dL,international unit per deciliter,,,,,,,
343,[IU]/g,international unit per gram,,,,,,,
344,[IU]/g{Hb},international unit per gram of hemoglobin,,,,,,,
345,[IU]/h,international unit per hour,,,,,,,
346,[IU]/kg,international unit per kilogram,,,,,,,
347,[IU]/kg/d,international unit per kilogram per day,,,,,,,
348,[IU]/L,international unit per liter,,,,,,,
349,[IU]/L{37Cel},international unit per liter at 37 degrees Celsius,,,,,,,
350,[IU]/mg{creat},international unit per milligram of creatinine,,,,,,,
351,[IU]/mL,international unit per milliliter,,,,,,,
352,[IU]/min,international unit per minute,,,,,,,
353,J,joule,,,,,,,
354,J/L,joule per liter,,,,,,,
355,{JDF'U},Juvenile Diabetes Foundation unit,,,,,,,
356,{JDF'U}/L,Juvenile Diabetes Foundation unit per liter,,,,,,,
357,{KCT'U},kaolin clotting time,,,,,,,
358,kat,katal,,,,,,,
359,kat/kg,katal per kilogram,,,,,,,
360,kat/L,katal per liter,,,,,,,
361,kU,kilo enzyme unit,,,,,,,
362,kU/g,kilo enzyme unit per gram,,,,,,,
363,kU/L,kilo enzyme unit per liter,,,,,,,
364,kU/L{class},kilo enzyme unit per liter class,,,,,,,
365,kU/mL,kilo enzyme unit per milliliter,,,,,,,
366,k[IU]/L,kilo international unit per liter,,,,,,,
367,k[IU]/mL,kilo international unit per milliliter,,,,,,,
368,kcal,kilocalorie,,,,,,,
369,kcal/(24.h),kilocalorie per 24 hour,,,,,,,
370,kcal/d,kilocalorie per day,,,,,,,
371,kcal/h,kilocalorie per hour,,,,,,,
372,kcal/kg/(24.h),kilocalorie per kilogram per 24 hour,,,,,,,
373,kcal/[oz_av],kilocalorie per ounce (US & British),,,,,,,
374,kg,kilogram,,,,,,,
375,kg.m/s,kilogram meter per second,,,,,,,
376,kg/m3,kilogram per cubic meter,,,,,,,
377,kg/h,kilogram per hour,,,,,,,
378,kg/L,kilogram per liter,,,,,,,
379,kg/min,kilogram per minute,,,,,,,
380,kg/mol,kilogram per mole,,,,,,,
381,kg/s,kilogram per second,,,,,,,
382,kg/(s.m2),kilogram per second per square meter,,,,,,,
383,kg/m2,kilogram per square meter,,,,,,,
384,kL,kiloliter,,,,,,,
385,km,kilometer,,,,,,,
386,kPa,kilopascal,,,,,,,
387,ks,kilosecond,,,,,,,
388,[ka'U],King Armstrong unit,,31-01-2014,v 1.2 released 2/6/2014,RG,259.0,[kaU],Changed apostrophe format from  to '
389,{KRONU'U}/mL,Kronus unit per milliliter,,,,,,,
390,[knk'U],Kunkel unit,,18-07-2016,v 1.4 released 7/18/2016,RG,259.0,[KNKU] ,"v1.4: deleted trailing spaces
v1.2: Changed apostrophe format from  to ' and deleted trailing space after closing bracket"
391,L,liter,,,,,,,
392,L/(24.h),liter per 24 hour,,,,,,,
393,L/(8.h),liter per 8 hour,,,,,,,
394,L/d,liter per day,,,,,,,
395,L/h,liter per hour,,,,,,,
396,L/kg,liter per kilogram,,,,,,,
397,L/L,liter per liter,,,,,,,
398,L/min,liter per minute,,,,,,,
399,L/min/m2,liter per minute per sqaure meter,,,,,,,
400,L/(min.m2),liter per minute per square meter,,,,,,,
401,L/s,liter per second,,,,,,,
402,L/s/s2,liter per second per square second,,,,,,,
403,{Log_copies}/mL,log (base 10) copies per milliliter,,,,,,,
404,{Log_IU},log (base 10) international unit,,,,,,,
405,{Log_IU}/mL,log (base 10) international unit per milliliter,,,,,,,
406,{Log},log base 10,,,,,,,
407,[LPF],low power field,,,,,,,
408,lm,lumen,,,,,,,
409,lm.m2,lumen square meter,,,,,,,
410,{Lyme_index_value},Lyme index value,,,,,,,
411,[mclg'U],Maclagan unit,,31-01-2014,v 1.2 released 2/6/2014,RG,281.0,[MCLGU],Changed apostrophe format from  to '
412,Ms,megasecond,,,,,,,
413,[MET].min/wk,metabolic equivalent minute per week,,,,,,,
414,m,meter,,,,,,,
415,m/s,meter per second,,,,,,,
416,m/s2,meter per square second,,,,,,,
417,t,metric ton,,,,,,,
418,uU/g,micro enzyme unit per gram,,,,,,,
419,uU/L,micro enzyme unit per liter,,,,,,,
420,uU/mL,micro enzyme unit per milliliter,,,,,,,
421,u[IU],micro international unit,,,,,,,
422,u[IU]/mL,micro international unit per milliliter,,,,,,,
423,ueq,microequivalent,,,,,,,
424,ueq/L,microequivalent per liter,,,,,,,
425,ueq/mL,microequivalent per milliliter,,,,,,,
426,ug,microgram,,,,,,,
427,ug/g{feces},microgram  per gram of feces,,,,,,,
428,ug{FEU}/mL,microgram fibrinogen equivalent unit per milliliter,,,,,,,
429,ug/(100.g),microgram per 100 gram,,04-10-2011,v 1.1 released 10/4/2011,RG,298.0,ug/100g,Added period between 100 and g
430,ug/(24.h),microgram per 24 hour,,,,,,,
431,ug/(8.h),microgram per 8 hour,,,,,,,
432,ug/m3,microgram per cubic meter,,,,,,,
433,ug/d,microgram per day,,,,,,,
434,ug/dL,microgram per deciliter,,,,,,,
435,ug/dL{RBCs},microgram per deciliter of red blood cells,,,,,,,
436,ug/g,microgram per gram,,,,,,,
437,ug/g{creat},microgram per gram of creatinine,,,,,,,
438,ug/g{dry_tissue},microgram per gram of dry tissue,,,,,,,
439,ug/g{dry_wt},microgram per gram of dry weight,,,,,,,
440,ug/g{hair},microgram per gram of hair,,,,,,,
441,ug/g{Hb},microgram per gram of hemoglobin,,,,,,,
442,ug/g{tissue},microgram per gram of tissue,,,,,,,
443,ug/h,microgram per hour,,,,,,,
444,ug/kg,microgram per kilogram,,,,,,,
445,ug/kg/(8.h),microgram per kilogram per 8 hour,,,,,,,
446,ug/kg/d,microgram per kilogram per day,,,,,,,
447,ug/kg/h,microgram per kilogram per hour,,,,,,,
448,ug/kg/min,microgram per kilogram per minute,,,,,,,
449,ug/L,microgram per liter,,,,,,,
450,ug/L{RBCs},microgram per liter of red blood cells,,,,,,,
451,ug/L/(24.h),microgram per liter per 24 hour,,,,,,,
452,ug/mg,microgram per milligram,,,,,,,
453,ug/mg{creat},microgram per milligram of creatinine,,,,,,,
454,ug/mL,microgram per milliliter,,,,,,,
455,ug/mL{class},microgram per milliliter class,,,,,,,
456,ug/mL{eqv},microgram per milliliter equivalent,,,,,,,
457,ug/mmol,microgram per millimole,,,,,,,
458,ug/mmol{creat},microgram per millimole of creatinine,,,,,,,
459,ug/min,microgram per minute,,,,,,,
460,ug/ng,microgram per nanogram,,,,,,,
461,ug/{specimen},microgram per specimen,,,,,,,
462,ug/[sft_i],microgram per square foot (international),,,,,,,
463,ug/m2,microgram per square meter,,,,,,,
464,u[IU]/L,microinternational unit per liter,,,,,,,
465,ukat,microkatal,,,,,,,
466,uL,microliter,,,,,,,
467,uL/(2.h),microliter per 2 hour,,,,,,,
468,uL/h,microliter per hour,,,,,,,
469,um,micrometer,,,,,,,
470,umol,micromole,,,,,,,
471,umol{BCE}/mol,micromole bone collagen equivalent per mole,,,,,,,
472,umol/(2.h),micromole per 2 hour,,,,,,,
473,umol/(24.h),micromole per 24 hour,,,,,,,
474,umol/(8.h),micromole per 8 hour,,,,,,,
475,umol/d,micromole per day,,,,,,,
476,umol/dL,micromole per deciliter,,,,,,,
477,umol/dL{GF},micromole per deciliter of glomerular filtrate,,,,,,,
478,umol/g,micromole per gram,,,,,,,
479,umol/g{creat},micromole per gram of creatinine,,,,,,,
480,umol/g{Hb},micromole per gram of hemoglobin,,,,,,,
481,umol/h,micromole per hour,,,,,,,
482,umol/kg,micromole per kilogram,,,,,,,
483,umol/kg{feces},micromole per kilogram of feces,,,,,,,
484,umol/L,micromole per liter,,,,,,,
485,umol/L{RBCs},micromole per liter of red blood cells,,,,,,,
486,umol/L/h,micromole per liter per hour,,,,,,,
487,umol/umol,micromole per micromole,,,,,,,
488,umol/umol{creat},micromole per micromole of creatinine,,,,,,,
489,umol/mg,micromole per milligram,,,,,,,
490,umol/mg{creat},micromole per milligram of creatinine,,,,,,,
491,umol/mL,micromole per milliliter,,,,,,,
492,umol/mL/min,micromole per milliliter per minute,,,,,,,
493,umol/mmol,micromole per millimole,,,,,,,
494,umol/mmol{creat},micromole per millimole of creatinine,,,,,,,
495,umol/10*6{RBC},micromole per million red blood cell,,,,,,,
496,umol/min,micromole per minute,,,,,,,
497,umol/min/g,micromole per minute per gram,,,,,,,
498,umol/min/g{mucosa},micromole per minute per gram of mucosa,,,,,,,
499,umol/min/g{prot},micromole per minute per gram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,365.0,umol/min/g{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
