TOPIC_CD,adam_param_code,SDTM_DOMAIN,activity,activity_instance,specimen,laterality,location,legacy_description,sub_domain_class,GENERAL_DOMAIN_CLASS,stdm_codelist,sdtm_variable,sdtm_cat,sdtm_sub_cat,std_unit,unit_dimension,molecular_weight,si_unit,us_conv_unit
ACUTE_KIDNEY_INJURY_CONDITIONS_OTHER,AKICONOT,FA,Acute Kidney Injury - Conditions Other,Acute Kidney Injury - Conditions Other,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Other, specify",CATEGORIC FINDING,FINDINGS,FATESTCD,AKICONOT,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CONNECTIVE_TISSUE_DISEASE_OR_VASCULITIS,AKICTDIV,FA,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Connective tissue disease or vasculitis",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Connective Tissue Disease/Vasculitis,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CONNECTIVE_TISSUE_DISEASE_OR_VASCULITIS,AKICTDIV,FA,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Connective tissue disease or vasculitis",CATEGORIC FINDING,FINDINGS,FATESTCD,AKICTDIV,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_CT_SCAN,AKICTSCA,FA,Acute Kidney Injury - CT Scan Performed,Acute Kidney Injury - CT Scan Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: 
CT Scan",CATEGORIC FINDING,FINDINGS,FATEST,AKI-CT Scan,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_CT_SCAN,AKICTSCA,FA,Acute Kidney Injury - CT Scan Performed,Acute Kidney Injury - CT Scan Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: 
CT Scan",CATEGORIC FINDING,FINDINGS,FATESTCD,AKICTSCA,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_FAMILY_HISTORY,AKIFAMHI,FA,Acute Kidney Injury - Family History of Kidney Disease,Acute Kidney Injury - Family History of Kidney Disease,,,,Acute Kidney Injury: Is there any family history of kidney disease,CATEGORIC FINDING,FINDINGS,FATEST,AKI-Family History of Kidney Disease,AE REQUIRING ADDITIONAL DATA,,,,,,
ACUTE_KIDNEY_INJURY_FAMILY_HISTORY,AKIFAMHI,FA,Acute Kidney Injury - Family History of Kidney Disease,Acute Kidney Injury - Family History of Kidney Disease,,,,Acute Kidney Injury: Is there any family history of kidney disease,CATEGORIC FINDING,FINDINGS,FATESTCD,AKIFAMHI,AE REQUIRING ADDITIONAL DATA,,,,,,
ACUTE_KIDNEY_INJURY_HYPERTENSION,AKIHYPER,FA,Acute Kidney Injury - Hypertension,Acute Kidney Injury - Hypertension,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Hypertension",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Hypertension,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_HYPERTENSION,AKIHYPER,FA,Acute Kidney Injury - Hypertension,Acute Kidney Injury - Hypertension,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Hypertension",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIHYPER,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_IMAGING_OTHER,AKIIMOTH,FA,Acute Kidney Injury - Other Imaging Performed,Acute Kidney Injury - Other Imaging Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: Other, specify",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Other Imaging Performed,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_IMAGING_OTHER,AKIIMOTH,FA,Acute Kidney Injury - Other Imaging Performed,Acute Kidney Injury - Other Imaging Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: Other, specify",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIIMOTH,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_IMAGING_PERFORMED,AKIIMAGE,FA,Acute Kidney Injury - Imaging Performed,Acute Kidney Injury - Imaging Performed,,,,Acute Kidney Injury: Was imaging performed in relation to the event,CATEGORIC FINDING,FINDINGS,FATEST,AKI-Imaging Performed,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_IMAGING_PERFORMED,AKIIMAGE,FA,Acute Kidney Injury - Imaging Performed,Acute Kidney Injury - Imaging Performed,,,,Acute Kidney Injury: Was imaging performed in relation to the event,CATEGORIC FINDING,FINDINGS,FATESTCD,AKIIMAGE,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_IMAGING_RESULTS,AKIHISTO,FA,Acute Kidney Injury - Summary of Imaging Results,Acute Kidney Injury - Summary of Imaging Results,,,,Acute Kidney Injury: Was imaging performed in relation to the event. Summary of imaging results,TEXTUAL FINDING,FINDINGS,FATEST,AKI-Summary of Imaging Results,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_IMAGING_RESULTS,AKIHISTO,FA,Acute Kidney Injury - Summary of Imaging Results,Acute Kidney Injury - Summary of Imaging Results,,,,Acute Kidney Injury: Was imaging performed in relation to the event. Summary of imaging results,TEXTUAL FINDING,FINDINGS,FATESTCD,AKIHISTO,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_INCREASE_SERUM_CREATININE_WITHIN_48_HOURS,AKISC48S,FA,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,SERUM,,,"Acute Kidney Injury: How did the event present itself. 
Increase in serum creatinine >= 0.3 mg/dL within 48 hours",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Incr Serum Crea >= 0.3 mg/dL Wth 48H,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_INCREASE_SERUM_CREATININE_WITHIN_48_HOURS,AKISC48S,FA,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,SERUM,,,"Acute Kidney Injury: How did the event present itself. 
Increase in serum creatinine >= 0.3 mg/dL within 48 hours",CATEGORIC FINDING,FINDINGS,FATESTCD,AKISC48,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_INCREASE_SERUM_CREATININE_WITHIN_7_DAYS,AKISCIDS,FA,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,SERUM,,,"Acute Kidney Injury: How did the event present itself. 
Increase in serum creatinine to >= 1.5 times baseline within 7 days",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Incr Serum Crea >= 1.5 Baseli Wth 7D,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_INCREASE_SERUM_CREATININE_WITHIN_7_DAYS,AKISCIDS,FA,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,SERUM,,,"Acute Kidney Injury: How did the event present itself. 
Increase in serum creatinine to >= 1.5 times baseline within 7 days",CATEGORIC FINDING,FINDINGS,FATESTCD,AKISCI7D,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_INITIATION_OF_RAS_BLOCKADE,AKIRASBL,FA,Acute Kidney Injury - Initiation of RAS Blockade,Acute Kidney Injury - Initiation of RAS Blockade,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Initiation of RAS Blockade",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Nephrotoxic Treatment RAS Blockade,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_INITIATION_OF_RAS_BLOCKADE,AKIRASBL,FA,Acute Kidney Injury - Initiation of RAS Blockade,Acute Kidney Injury - Initiation of RAS Blockade,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Initiation of RAS Blockade",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIRASBL,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_IV_CONTRAST,AKIIVCON,FA,Acute Kidney Injury - IV Contrast,Acute Kidney Injury - IV Contrast,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
IV Contrast",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Nephrotoxic Treatment IV Contrast,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_IV_CONTRAST,AKIIVCON,FA,Acute Kidney Injury - IV Contrast,Acute Kidney Injury - IV Contrast,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
IV Contrast",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIIVCON,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_KIDNEY_BIOPSY_HISTOLOGY_RESULTS,AKIBIHIS,FA,Acute Kidney Injury - Summary of Biopsy Histology Results,Acute Kidney Injury - Summary of Biopsy Histology Results,,,,Acute Kidney Injury: Summery of histology results from kidney biopsy,TEXTUAL FINDING,FINDINGS,FATEST,AKI-Summary of Biopsy Histology Results,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY BIOPSY,,,,,
ACUTE_KIDNEY_INJURY_KIDNEY_BIOPSY_HISTOLOGY_RESULTS,AKIBIHIS,FA,Acute Kidney Injury - Summary of Biopsy Histology Results,Acute Kidney Injury - Summary of Biopsy Histology Results,,,,Acute Kidney Injury: Summery of histology results from kidney biopsy,TEXTUAL FINDING,FINDINGS,FATESTCD,AKIBIHIS,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY BIOPSY,,,,,
ACUTE_KIDNEY_INJURY_KIDNEY_BIOPSY_PERFORMED,AKIBIOPS,FA,Acute Kidney Injury - Kidney Biopsy Performed,Acute Kidney Injury - Kidney Biopsy Performed,,,,Acute Kidney Injury: Was kidney biopsy performed in relation to the event,CATEGORIC FINDING,FINDINGS,FATEST,AKI-Kidney Biopsy Performed,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY BIOPSY,,,,,
ACUTE_KIDNEY_INJURY_KIDNEY_BIOPSY_PERFORMED,AKIBIOPS,FA,Acute Kidney Injury - Kidney Biopsy Performed,Acute Kidney Injury - Kidney Biopsy Performed,,,,Acute Kidney Injury: Was kidney biopsy performed in relation to the event,CATEGORIC FINDING,FINDINGS,FATESTCD,AKIBIOPS,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY BIOPSY,,,,,
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_LAST_3_MONTHS,AKINDA3M,FA,Acute Kidney Injury - Nephrotoxic Treatment Received within Last 3 Months,Acute Kidney Injury - Nephrotoxic Treatment Received within Last 3 Months,,,,Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months,CATEGORIC FINDING,FINDINGS,FATEST,AKI-Nephrotoxic Treatment Last 3 Months,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_LAST_3_MONTHS,AKINDA3M,FA,Acute Kidney Injury - Nephrotoxic Treatment Received within Last 3 Months,Acute Kidney Injury - Nephrotoxic Treatment Received within Last 3 Months,,,,Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months,CATEGORIC FINDING,FINDINGS,FATESTCD,AKINDA3M,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_OTHER,AKINDAOT,FA,Acute Kidney Injury - Nephrotoxic Treatment Other,Acute Kidney Injury - Nephrotoxic Treatment Other,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Nephrotoxic treatment other",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Nephrotoxic Treatment Other,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_OTHER,AKINDAOT,FA,Acute Kidney Injury - Nephrotoxic Treatment Other,Acute Kidney Injury - Nephrotoxic Treatment Other,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Nephrotoxic treatment other",CATEGORIC FINDING,FINDINGS,FATESTCD,AKINDAOT,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_NSAID,AKINSAID,FA,Acute Kidney Injury - NSAIDs,Acute Kidney Injury - NSAIDs,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Nonsteroidal anti-inflammatory drugs (NSAIDs)",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Nephrotoxic Treatment NSAIDs,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_NSAID,AKINSAID,FA,Acute Kidney Injury - NSAIDs,Acute Kidney Injury - NSAIDs,,,,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Nonsteroidal anti-inflammatory drugs (NSAIDs)",CATEGORIC FINDING,FINDINGS,FATESTCD,AKINSAID,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,,,,,
ACUTE_KIDNEY_INJURY_POST-RENAL_OBSTRUCTIVE_DISEASE,AKIPROBS,FA,Acute Kidney Injury - Post-renal Obstructive Disease,Acute Kidney Injury - Post-renal Obstructive Disease,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Post-renal obstructive disease",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Post-renal Obstructive Disease,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_POST-RENAL_OBSTRUCTIVE_DISEASE,AKIPROBS,FA,Acute Kidney Injury - Post-renal Obstructive Disease,Acute Kidney Injury - Post-renal Obstructive Disease,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Post-renal obstructive disease",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIPROBS,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_PRESENT_OTHER,AKIPROTH,FA,Acute Kidney Injury - Present Other,Acute Kidney Injury - Present Other,,,,"Acute Kidney Injury: How did the event present itself. 
Other, specify",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Present Other,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_PRESENT_OTHER,AKIPROTH,FA,Acute Kidney Injury - Present Other,Acute Kidney Injury - Present Other,,,,"Acute Kidney Injury: How did the event present itself. 
Other, specify",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIPROTH,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_PRIMARY_GLOMERULONEPHRITIS,AKIPRGLO,FA,Acute Kidney Injury - Primary Glomerulonephritis,Acute Kidney Injury - Primary Glomerulonephritis,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Primary glomerulonephritis",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Primary Glomerulonephritis,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_PRIMARY_GLOMERULONEPHRITIS,AKIPRGLO,FA,Acute Kidney Injury - Primary Glomerulonephritis,Acute Kidney Injury - Primary Glomerulonephritis,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Primary glomerulonephritis",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIPRGLO,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_PROGRESSION_OF_CHRONIC_KIDNEY_DISEASE,AKIPRCKD,FA,Acute Kidney Injury - Progression of Chronic Kidney Disease,Acute Kidney Injury - Progression of Chronic Kidney Disease,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Progression of chronic kidney disease",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Chronic Kidney Disease Progression,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_PROGRESSION_OF_CHRONIC_KIDNEY_DISEASE,AKIPRCKD,FA,Acute Kidney Injury - Progression of Chronic Kidney Disease,Acute Kidney Injury - Progression of Chronic Kidney Disease,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Progression of chronic kidney disease",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIPRCKD,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RECENT_DCR_IN_RENAL_PERFUSION_D/T_VOL_DEPLETION_DCRD_CARD_OU,AKIDRP,FA,Acute Kidney Injury - Recent Decrease in Renal Perfusion,Acute Kidney Injury - Recent Decrease in Renal Perfusion,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event:
Recent decrease in renal perfusion due to volume depletion, decreased cardiac putput or hypotension",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Recent Renal Perfusion Decrease,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RECENT_DCR_IN_RENAL_PERFUSION_D/T_VOL_DEPLETION_DCRD_CARD_OU,AKIDRP,FA,Acute Kidney Injury - Recent Decrease in Renal Perfusion,Acute Kidney Injury - Recent Decrease in Renal Perfusion,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event:
Recent decrease in renal perfusion due to volume depletion, decreased cardiac putput or hypotension",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIDRP,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RECENT_STREPTOCOCCAL_INFECTION,AKISTREP,FA,Acute Kidney Injury - Recent Streptococcal Infection,Acute Kidney Injury - Recent Streptococcal Infection,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Recent streptococcal infection",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Recent Streptococcal Infection,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RECENT_STREPTOCOCCAL_INFECTION,AKISTREP,FA,Acute Kidney Injury - Recent Streptococcal Infection,Acute Kidney Injury - Recent Streptococcal Infection,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Recent streptococcal infection",CATEGORIC FINDING,FINDINGS,FATESTCD,AKISTREP,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RENAL_ANGIO-IMAGING,AKIRANIM,FA,Acute Kidney Injury - Renal Angio-imaging Performed,Acute Kidney Injury - Renal Angio-imaging Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: 
Renal angio-imaging",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Renal Angio-imaging,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_RENAL_ANGIO-IMAGING,AKIRANIM,FA,Acute Kidney Injury - Renal Angio-imaging Performed,Acute Kidney Injury - Renal Angio-imaging Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: 
Renal angio-imaging",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIRANIM,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_RENAL_ARTERY_STENOSIS,AKIREAST,FA,Acute Kidney Injury - Renal Artery Stenosis,Acute Kidney Injury - Renal Artery Stenosis,,,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: Renal artery stenosis,CATEGORIC FINDING,FINDINGS,FATEST,AKI-Renal Artery Stenosis,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RENAL_ARTERY_STENOSIS,AKIREAST,FA,Acute Kidney Injury - Renal Artery Stenosis,Acute Kidney Injury - Renal Artery Stenosis,,,,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: Renal artery stenosis,CATEGORIC FINDING,FINDINGS,FATESTCD,AKIREAST,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
