basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;xmlcodelist_multi;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;class_table;class_column;map_var_flag;fixed_mapping;include_in_raw;nn_internal;value_lvl_where_cols;value_lvl_label_col;value_lvl_collect_ct_val;value_lvl_ct_cdlist_id_col;enrich_build_order;enrich_rule;xmlcodelistvalues
Y;AE;AETERM;Reported Term for the Adverse Event;110;C;200;;text;;;Req;;Collected;;Topic;;;UPPERCASE;;;Verbatim name of the event.;EVENTS;__TERM;Y;;Y;;;;;;;;
Y;AE;AEMODIFY;Modified Reported Term;120;C;200;;text;;;Perm;;Collected;;Synonym Qualifier;;;UPPERCASE;;;If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text.;EVENTS;__MODIFY;Y;;Y;;;;;;;;
Y;AE;AELLT;Lowest Level Term;130;C;200;;text;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;;Dictionary-derived text description of the Lowest Level Term.;EVENTS;__LLT;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AELLTCD;Lowest Level Term Code;140;N;8;;integer;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;;Dictionary-derived code for the Lowest Level Term.;EVENTS;__LLTCD;Y;;Y;;;;;;;;
Y;AE;AEDECOD;Dictionary-Derived Term;150;C;200;;text;;;Req;Assigned;Assigned;Sponsor;Synonym Qualifier;MedDRA;;MIXEDCASE;;;Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.;EVENTS;__DECOD;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AEPTCD;Preferred Term Code;160;N;8;;integer;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;;Dictionary-derived code for the Preferred Term.;EVENTS;__PTCD;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AEHLT;High Level Term;170;C;200;;text;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;;Dictionary-derived text description of the High Level Term for the primary System Organ Class.;EVENTS;__HLT;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AEHLTCD;High Level Term Code;180;N;8;;integer;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;;Dictionary-derived code for the High Level Term for the primary System Organ Class.;EVENTS;__HLTCD;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AEHLGT;High Level Group Term;190;C;200;;text;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;;Dictionary-derived text description of the High Level Group Term for the primary System Organ Class.;EVENTS;__HLGT;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AEHLGTCD;High Level Group Term Code;200;N;8;;integer;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;;Dictionary-derived code for the High Level Group Term for the primary System Organ Class.;EVENTS;__HLGTCD;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AECAT;Category for Adverse Event;210;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a category of related records. Example: BLEEDING, NEUROPSYCHIATRIC.;EVENTS;__CAT;Y;;Y;;;;;;;;
Y;AE;AESCAT;Subcategory for Adverse Event;220;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;A further categorization of adverse event. Example: NEUROLOGIC.;EVENTS;__SCAT;Y;;Y;;;;;;;;
Y;AE;AEPRESP;Pre-Specified Adverse Event;230;C;2;;text;NY;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(NY);;UPPERCASE;;;"A value of ""Y"" indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free- text verbatim terms)";EVENTS;__PRESP;Y;;Y;;;;;;;;Y
Y;AE;AEBODSYS;Body System or Organ Class;240;C;200;;text;;;Exp;Assigned;Assigned;Sponsor;Record Qualifier;MedDRA;;MIXEDCASE;;;Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.;EVENTS;__BODSYS;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AEBDSYCD;Body System or Organ Class Code;250;N;8;;integer;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;;Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC.;EVENTS;__BDSYCD;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AESOC;Primary System Organ Class;260;C;200;;text;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;MIXEDCASE;;;Dictionary-derived text description of the primary System Organ Class. Will be the same as AEBODSYS if the primary SOC was used for analysis.;EVENTS;__SOC;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AESOCCD;Primary System Organ Class Code;270;N;8;;integer;;;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;MedDRA;;;;;Dictionary-derived code for the primary System Organ Class. Will be the same as AEBDSYCD if the primary SOC was used for analysis.;EVENTS;__SOCCD;;;;;;;;;30;sdtme_std_cd_v$$;
Y;AE;AELOC;Location of Event;280;C;100;;text;LOC;;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;;Describes anatomical location relevant for the event (e.g., ARM for skin rash).;EVENTS;__LOC;Y;;Y;;;;;;;;
Y;AE;AESEV;Severity/Intensity;290;C;80;;text;AESEV;;Perm;;;;Record Qualifier;(AESEV);;UPPERCASE;;;The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.;EVENTS;__SEV;Y;;Y;;;;;;;;
Y;AE;AESER;Serious Event;300;C;2;;text;NY;;Exp;;;;Record Qualifier;(NY);;UPPERCASE;;;Is this a serious event?;EVENTS;__SER;Y;;Y;;;;;;;;
Y;AE;AEACN;Action Taken with Study Treatment;310;C;40;;text;ACN;;Exp;;;;Record Qualifier;(ACN);;UPPERCASE;;;Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE.;EVENTS;__ACN;;;;;AEACN;;;;70;sdtme_std_qnam_v$$;
Y;AE;AEACNOTH;Other Action Taken;320;C;200;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;"Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: ""TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.""";EVENTS;__ACNOTH;Y;;Y;;;;;;;;
;AE;AEACNDEV;Action Taken with Device;330;C;80;;text;AEACNDEV;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Action taken with respect to a device in a study, which may or may not be the device under study;EVENTS;__ACNDEV;;;;;;;;;;;
Y;AE;AEREL;Causality;340;C;80;;text;AEREL;;Exp;;;;Record Qualifier;*;;UPPERCASE;;;Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this variable.;EVENTS;__REL;;;;;AEREL;;;;70;sdtme_std_qnam_v$$;
Y;AE;AERELNST;Relationship to Non-Study Treatment;350;C;40;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;"Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE."".";EVENTS;__RELNST;;;;;;;;;;;
Y;AE;AEPATT;Pattern of Adverse Event;360;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.;EVENTS;__PATT;;;;;;;;;;;
Y;AE;AEOUT;Outcome of Adverse Event;370;C;40;;text;OUT;;Perm;;;;Record Qualifier;(OUT);;UPPERCASE;;;Description of the outcome of an event.;EVENTS;__OUT;Y;;Y;;;;;;;;
Y;AE;AESCAN;Involves Cancer;380;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Was the serious event associated with the development of cancer?;EVENTS;__SCAN;;;;;;;;;;;
Y;AE;AESCONG;Congenital Anomaly or Birth Defect;390;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Was the serious event associated with congenital anomaly or birth defect?;EVENTS;__SCONG;Y;;Y;;;;;;;;
Y;AE;AESDISAB;Persist or Signif Disability/Incapacity;400;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Did the serious event result in persistent or significant disability/incapacity?;EVENTS;__SDISAB;Y;;Y;;;;;;;;
Y;AE;AESDTH;Results in Death;410;C;2;;text;NY;;Perm;Derived;Derived;Sponsor;Record Qualifier;(NY);If AE record exists with AEOUT=FATAL then AESDTH=Y;UPPERCASE;;;Did the serious event result in death?;EVENTS;__SDTH;Y;;Y;;;;;;;;
Y;AE;AESHOSP;Requires or Prolongs Hospitalization;420;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Did the serious event require or prolong hospitalization?;EVENTS;__SHOSP;Y;;Y;;;;;;;;
Y;AE;AESLIFE;Is Life Threatening;430;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Was the serious event life threatening?;EVENTS;__SLIFE;Y;;Y;;;;;;;;
Y;AE;AESOD;Occurred with Overdose;440;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Did the serious event occur with an overdose?;EVENTS;__SOD;;;;;;;;;;;
Y;AE;AESMIE;Other Medically Important Serious Event;450;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Do additional categories for seriousness apply?;EVENTS;__SMIE;Y;;Y;;;;;;;;
Y;AE;AECONTRT;Concomitant or Additional Trtmnt Given;460;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Was another treatment given because of the occurrence of the event?;EVENTS;__CONTRT;;;;;;;;;;;
;AE;AETOX;Toxicity;470;C;80;;text;;;Perm;;;;Variable Qualifier;*;;UPPERCASE;;;;EVENTS;__TOX;Y;;Y;;;;;;;;
Y;AE;AETOXGR;Standard Toxicity Grade;480;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;"Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see Assumption 6d). If value is from a numeric scale, represent only the number (e.g., ""2"" and not ""Grade 2"").";EVENTS;__TOXGR;Y;;Y;;;;;;;;
;AE;AEEPRELI;Epi/Pandemic Related Indicator;490;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;Y;;Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0;NSV;__EPRELI;Y;;Y;;;;;;80;sdtme_std_epreli_v$$;Y
;AE;ETCD;Element Code;500;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.;NN DEFINED;ETCD;;;;;;;;;50;sdtme_std_etcd_v$$;
;AE;ELEMENT;Description of Element;510;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;The name of the Element.;NN DEFINED;ELEMENT;;;;;;;;;50;sdtme_std_etcd_v$$;
Y;AE;TAETORD;Planned Order of Element within Arm;520;N;8;;integer;;;Perm;Protocol;Protocol;Sponsor;Timing;;;;;;Number that gives the planned order of the Element within the Arm for the element in which the assessment was made;TIMING;TAETORD;;;;;;;;;;;
Y;AE;EPOCH;Epoch;530;C;40;;text;EPOCH;;Perm;Protocol;Protocol;Sponsor;Timing;(EPOCH);;UPPERCASE;;Set based on the SE domain;Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).;TIMING;EPOCH;;;;;;;;;40;sdtme_std_epoch_v$$;
Y;AE;AESTDTC;Start Date/Time of Adverse Event;540;C;64;;datetime;;;Exp;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;;TIMING;__STDTC;Y;;Y;;;;;;;;
Y;AE;AEENDTC;End Date/Time of Adverse Event;550;C;64;;datetime;;;Exp;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;;TIMING;__ENDTC;Y;;Y;;;;;;;;
Y;AE;AESTDY;Study Day of Start of Adverse Event;560;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If AESTDTC GE RFSTDTC then AESTDY=AESTDTC-RFSTDTC+1; otherwise AESTDY=AESTDTC-RFSTDTC.";;;;Study day of start of adverse event relative to the sponsor-defined RFSTDTC.;TIMING;__STDY;;;;;;;;;10;sdtme_std_dy_v$$;
Y;AE;AEENDY;Study Day of End of Adverse Event;570;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If AEENDTC GE RFSTDTC then AEENDY=AEENDTC-RFSTDTC+1; otherwise AEENDY=AEENDTC-RFSTDTC.";;;;Study day of end of event relative to the sponsor-defined RFSTDTC.;TIMING;__ENDY;;;;;;;;;10;sdtme_std_dy_v$$;
Y;AE;AEDUR;Duration of Adverse Event;580;C;64;;text;;;Perm;;;;Timing;ISO 8601;;UPPERCASE DURATION;;;Collected duration and unit of an adverse event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).;TIMING;__DUR;Y;;Y;;;;;;;;
Y;AE;AEENRF;End Relative to Reference Period;590;C;20;;text;STENRF;;Perm;Derived;Derived;Sponsor;Timing;(STENRF);Classifies the end of the medication relative to reference period as defined by RFSTDTC and RFENDTC in Demographics. If reported as ongoing on the CRF, the value will be set to ONGOING.;UPPERCASE;;;Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial. This variable is proposed for deletion post SDTM V1.4.;TIMING;__ENRF;Y;;Y;;;;;;;;
;AE;AESTRTPT;Start Relative to Reference Time Point;600;C;40;;text;STENRF;;Perm;Assigned;Assigned;Sponsor;Timing;(STENRF);;UPPERCASE;;;;TIMING;__STRTPT;Y;;Y;;;;;;;;BEFORE|COINCIDENT|AFTER|U
;AE;AESTTPT;Start Reference Time Point;610;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Timing;;;UPPERCASE;;;;TIMING;__STTPT;Y;;Y;;;;;;;;
Y;AE;AEENRTPT;End Relative to Reference Time Point;620;C;40;;text;STENRF;;Perm;Assigned;Assigned;Sponsor;Timing;(STENRF);;UPPERCASE;;;Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.;TIMING;__ENRTPT;Y;;Y;;;;;;;;BEFORE|COINCIDENT|AFTER|ONGOING|U
Y;AE;AEENTPT;End Reference Time Point;630;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Timing;;;UPPERCASE;;;"Description of date/time in ISO 8601 character format of the reference point referred to by AEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".";TIMING;__ENTPT;Y;;Y;;;;;;;;
;AG;CDMS_SUB_EVT_NUM;CDMS Repeat Sequence Number;10;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;;NN DEFINED;CDMS_SUB_EVT_NUM;;subevnum;Y;Y;;;;;;;
;AG;TOPIC_CD;CDW Topic Code;20;C;80;;text;;;Perm;;;;Topic;;;;;;;NN DEFINED;TOPIC_CD;;topiccd;Y;Y;;;;;;;
Y;AG;STUDYID;Study Identifier;30;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;;IDENTIFIERS;STUDYID;*;;Y;;;;;;;;
Y;AG;DOMAIN;Domain Abbreviation;40;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;AG;;UPPERCASE;;;;IDENTIFIERS;DOMAIN;*;;Y;;;;;;;;
Y;AG;USUBJID;Unique Subject Identifier;50;C;60;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Concatenation of STUDYID and DM.SUBJID;;IDENTIFIERS;USUBJID;*;;Y;;;;;;;;
;AG;SPDEVID;Sponsor Device Identifier;60;C;80;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier for a device;IDENTIFIERS;SPDEVID;Y;;Y;;;;;;;;
Y;AG;AGSEQ;Sequence Number;70;N;8;;integer;;;Req;Assigned;Assigned;Sponsor;Identifier;;Sequential number identifying records within each USUBJID;;;;;IDENTIFIERS;__SEQ;*;;Y;;;;;;;;
Y;AG;AGGRPID;Group ID;80;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;;IDENTIFIERS;__GRPID;Y;;Y;;;;;;;;
;AG;AGREFID;Reference ID;90;C;40;;text;;;Perm;;Collected;;Identifier;;;UPPERCASE;;;Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.;IDENTIFIERS;__REFID;Y;;Y;;;;;;;;
Y;AG;AGSPID;Sponsor-Defined Identifier;100;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;System generated unique identifier, can be used as reference to the ADaM domains;;IDENTIFIERS;__SPID;*;;Y;;;;;;;;
Y;AG;AGLNKID;Link ID;110;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.;IDENTIFIERS;__LNKID;Y;;Y;;;;;;;;
Y;AG;AGLNKGRP;Link Group ID;120;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;IDENTIFIERS;__LNKGRP;Y;;Y;;;;;;;;
Y;AG;AGTRT;Reported Agent Name;130;C;200;;text;;;Req;;Assigned;Sponsor;Topic;;;UPPERCASE;;;;INTERVENTIONS;__TRT;Y;;Y;;;;;;;;
Y;AG;AGMODIFY;Modified Reported Name;140;C;200;;text;;;Perm;;Collected;;Synonym Qualifier;;;UPPERCASE;;;;INTERVENTIONS;__MODIFY;Y;;Y;;;;;;;;
Y;AG;AGDECOD;Standardized Agent Name;150;C;200;;text;;;Perm;Assigned;Assigned;Sponsor;Synonym Qualifier;*;;MIXEDCASE;;;;INTERVENTIONS;__DECOD;Y;;Y;;;;;;;;
Y;AG;AGCAT;Category for Agent;160;C;60;;text;AGCAT;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;;INTERVENTIONS;__CAT;Y;;Y;;;;;;;;
Y;AG;AGSCAT;Subcategory for Agent;170;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;;INTERVENTIONS;__SCAT;Y;;Y;;;;;;;;
Y;AG;AGPRESP;AG Pre-Specified;180;C;2;;text;NY;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(NY);;UPPERCASE;;;;INTERVENTIONS;__PRESP;Y;;Y;;;;;;;;Y
Y;AG;AGOCCUR;AG Occurrence;190;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;;INTERVENTIONS;__OCCUR;Y;;Y;;;;;;;;Y|N
Y;AG;AGSTAT;Completion Status;200;C;40;;text;ND;;Perm;Derived;Derived;Sponsor;Record Qualifier;(ND);Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF;UPPERCASE;;Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF;;INTERVENTIONS;__STAT;Y;;Y;;;;;;;;
Y;AG;AGREASND;Reason Procedure Agent Not Collected;210;C;200;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;;INTERVENTIONS;__REASND;Y;;Y;;;;;;;;
Y;AG;AGCLAS;Agent Class;220;C;200;;text;;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;*;;UPPERCASE;;;;INTERVENTIONS;__CLAS;Y;;Y;;;;;;;;
Y;AG;AGCLASCD;Agent Class Code;230;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;*;;UPPERCASE;;;;INTERVENTIONS;__CLASCD;Y;;Y;;;;;;;;
Y;AG;AGDOSE;Dose per Administration;240;N;8;8,3;float;;;Perm;;;;Record Qualifier;;;;;;;INTERVENTIONS;__DOSE;Y;;Y;;;;;;;;
Y;AG;AGDOSTXT;Dose Description;250;C;200;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;;INTERVENTIONS;__DOSTXT;Y;;Y;;;;;;;;
Y;AG;AGDOSU;Dose Units;260;C;40;;text;UNIT;;Perm;;;;Variable Qualifier;(UNIT);;MIXEDCASE;;;;INTERVENTIONS;__DOSU;;unitcoll;Y;;;;;;;;
Y;AG;AGDOSFRM;Dose Form;270;C;80;;text;FRM;;Perm;;;;Variable Qualifier;(FRM);;UPPERCASE;;;;INTERVENTIONS;__DOSFRM;Y;;Y;;;;;;;;
Y;AG;AGDOSFRQ;Dosing Frequency per Interval;280;C;40;;text;FREQ;;Perm;;;;Variable Qualifier;(FREQ);;UPPERCASE;;;;INTERVENTIONS;__DOSFRQ;Y;;Y;;;;;;;;
Y;AG;AGROUTE;Route of Administration;290;C;40;;text;ROUTE;;Perm;;;;Variable Qualifier;(ROUTE);;UPPERCASE;;;;INTERVENTIONS;__ROUTE;Y;;Y;;;;;;;;
;AG;ETCD;Element Code;300;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.;NN DEFINED;ETCD;;;;;;;;;50;sdtme_std_etcd_v$$;
;AG;ELEMENT;Description of Element;310;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;The name of the Element.;NN DEFINED;ELEMENT;;;;;;;;;50;sdtme_std_etcd_v$$;
Y;AG;VISITNUM;Visit Number;320;N;8;9,3;float;;;Exp;Protocol;Protocol;Sponsor;Timing;;;;;Multiple unscheduled visits or non-visits can exist having the same visit ID but with different dates. This might result in duplicate records for the same visit number but with different dates;;TIMING;VISITNUM;Y;;Y;;;;;;;;
Y;AG;VISIT;Visit Name;330;C;40;;text;;;Perm;Protocol;Protocol;Sponsor;Timing;;;UPPERCASE;;;;TIMING;VISIT;;;;;;;;;30;sdtme_std_visit_v$$;
Y;AG;VISITDY;Planned Study Day of Visit;340;N;8;;integer;;;Perm;Assigned;Assigned;Sponsor;Timing;;;;;Based on TV.VISITDY;;TIMING;VISITDY;;;;;;;;;20;sdtme_std_visitdy_v$$;
Y;AG;TAETORD;Planned Order of Element within Arm;350;N;8;;integer;;;Perm;Protocol;Protocol;Sponsor;Timing;;;;;;Number that gives the planned order of the Element within the Arm for the element in which the assessment was made;TIMING;TAETORD;;;;;;;;;;;
Y;AG;EPOCH;Epoch;360;C;40;;text;EPOCH;;Perm;Protocol;Protocol;Sponsor;Timing;(EPOCH);;UPPERCASE;;Set based on the SE domain;Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).;TIMING;EPOCH;;;;;;;;;40;sdtme_std_epoch_v$$;
Y;AG;AGSTDTC;Start Date/Time of Agent;370;C;64;;datetime;;;Perm;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;;TIMING;__STDTC;Y;;Y;;;;;;;;
Y;AG;AGENDTC;End Date/Time of Agent;380;C;64;;datetime;;;Perm;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;;TIMING;__ENDTC;Y;;Y;;;;;;;;
